rigour_score,rigour_ev,evaluation_score,evaluation_ev,context_realism_score,context_realism_ev,safety_score,safety_ev,stage_id,secs,html_source,draft_total,prio,human_rigour_score,human_evaluation_score,human_context_realism_score,human_safety_score,human_notes,human_total
2,"To address this gap, we simulate evacuation dynamics within disaster scenarios using an LLM-based agent framework and compare predictions against real-world mobility data, enabling a comprehensive evaluation of their capabilities and limitations.",2,We evaluate the adapted model on held-out Marshall Fire agents and in a cross-event test using personas from the 2022 Route Fire. These experiments show that fine-tuning improves predictive accuracy and scales to previously unseen disaster scenarios.,0,No specific mention of testing or simulating offline/disconnected conditions.,1,"We find that adding sociodemographic information such as population size, racial composition, and income of the area improves prediction quality beyond using proximity to the fire alone. Moreover, fine-tuning LLMs with synthetic persona data further enhances predictive accuracy while preserving interpretability.",S1209,28.6,0,5,0,2.0,2.0,0.0,1.0,Passed through from draft.,5.0
2,"The framework was developed using a Model-Based Systems Engineering (MBSE) approach, employing use case and block definition diagrams to represent system roles, internal structure, and component interactions. Three key components, the VLM Coordinator Agent, UAV Mission Control, and Task Allocator, were implemented within an integrated simulation and control environment.",2,"A preliminary human-factors evaluation with seven participants showed reduced perceived workload across mental demand, effort, and frustration, along with high ratings for AI trust and communication clarity.",0,No specific mention of testing or simulating offline/disconnected conditions.,1,The paper mentions the importance of safety and mission reliability but does not report specific safety risks or limitations related to hallucination or wrong guidance.,S3510,29.3,0,5,0,2.0,2.0,0.0,1.0,Passed through from draft. | V4 provenance: small/local model verified in PDF | V4 provenance: small/local model verified in PDF,5.0
2,Training is performed via supervised fine-tuning on structured reasoning trajectories with deterministic replay validation to ensure executability and spatial correctness.,2,"The accompanying corpus comprises 14,538 training and 1,169 evaluation instances with over 107K reasoning steps, spanning urban, environmental, disaster, and infrastruc- ture domains and incorporating GIS operations alongside index analyses such as NDVI, NBR, and NDBI.",0,No specific mention of offline or disconnected conditions being tested or simulated.,1,"Building on this motivation, we construct a comprehensive agentic corpus and training framework that integrates GIS layers, index-driven computations, and multisensor imagery (optical and SAR) modalities to support a wide spectrum of EO reasoning tasks.",S4013,31.4,0,5,0,2.0,2.0,0.0,1.0,Passed through from draft.,5.0
1,"The methodological description is basic, focusing on the proposed framework (RLE-GSC) and its components, such as the lightweight LLM and the RAG-driven bi-temporal cross-modal semantic-guided image recovery scheme (RBC-SIR). However, the description lacks detailed steps or parameters for reproducibility. Verbatim: 'In RLE-GSC, a UAV-side lightweight LLM converts sensed images into low-bit-rate semantic text, while a base-station (BS)-side LLM performs knowledge-grounded correction on corrupted text.'",2,"The evaluation includes simulation results showing improvements in text and image semantic similarity, and QoE gains over representative baselines. Verbatim: 'Simulation results show that semantic correction and RBC-SIR improve text and image semantic similarity by 10%–25% and 12%–27%, respectively, while LE-DRL achieves up to a 38% QoE gain over representative baselines.'",1,"The paper discusses the relevance of offline conditions and packet-loss-induced semantic distortion but does not TEST or SIMULATE offline conditions. Verbatim: 'However, reliable disaster-image transmission remains challenging due to large image payloads, adverse post-disaster channels, and packet-loss-induced semantic distortion.'",1,"The paper mentions limitations and potential issues such as semantic inconsistency and ambiguity, but does not report safety risks or limitations comprehensively. Verbatim: 'These issues call for mechanisms that enforce consistent semantic constraints and preserve task-critical cues in generative semantic communication.'",S0054,58.2,0,5,0,1.0,2.0,1.0,1.0,Passed through from draft.,5.0
2,"The methodological rigor is sound, with a clear design described in the extracts. The H-J framework integrates multi-source perception, knowledge-guided policy generation, entropy-constrained generation, and feedback optimization, forming a closed-loop pipeline from perception to adaptive policy refinement. The method is detailed and reproducible.",2,"The evaluation quality is high, with real-world urban topology and rainfall data used under three representative conditions: extreme rainfall, intermittent bursts, and daily light rain. Experiments show that H-J significantly outperforms both rule-based and reinforcement learning baselines in traffic smoothness, task success rate, and system robustness.",1,"The paper discusses offline and disconnected conditions as motivation, noting the challenges of semantic instability and execution inconsistency in LLM-generated strategies. However, it does not TEST or SIMULATE offline/disconnected conditions.",1,"The paper mentions limitations and safety risks, such as semantic instability and execution inconsistency in LLM-generated strategies. However, it does not report safety risks comprehensively or provide a detailed analysis of limitations.",S1411,35.3,0,6,0,2.0,2.0,1.0,1.0,Passed through from draft.,6.0
2,"SafeMate is built on a modular agent architecture enabled by the Model Context Protocol (MCP)(Anthropic, 2024). MCP provides a framework for orchestrating multiple external tools and services, such as document retrievers, geospatial databases, public preparedness knowledge bases, and search APIs, under a shared semantic interface. This architecture allows the agent to dynamically route queries to the appropriate tool, retrieve domain-specific information, and generate a unified, context-sensitive response.",2,"To assess the performance of SafeMate in delivering accurate and grounded emergency guidance, we constructed a benchmark of 100 emergency preparedness questions. Each question was paired with a ground truth answer derived from trusted sources such as FEMA, CDC, and OSHA.",0,The provided extracts do not mention any tests or simulations of offline or disconnected conditions.,2,"SafeMate leverages OpenAI’s o3-mini-high model, which reports one of the lowest hallucination rates among available open-weight models (0.8%)(Vectara Research Team, 2023). Beyond model selection, SafeMate performs double verification by revalidating every answer against its retrieved sources via a second RAG pass. If the model-generated response lacks sufficient grounding in the retrieved knowledge base, it is flagged or rejected.",S3496,39.1,0,6,0,0.0,0.0,0.0,0.0,"OUT:E4 (final audit): uses OpenAI o3-mini - large cloud model, axis A violated. Rubric scores voided: eligibility recode (E4) takes precedence over quality scoring.",0.0
2,"The paper presents a detailed methodological approach, including a three-stage RAG training pipeline with FAISS-based dense retrieval, and evaluates the system with specific metrics.",2,"The evaluation demonstrates Recall@5 of 0.89, MRR of 0.84, and BERTScore of 0.86, while maintaining end-to-end latency below 2 seconds at five mesh hops.",2,"The system is designed to operate fully offline on mobile devices, and the evaluation includes testing under offline conditions using a modified Bridgefy mesh layer.",1,"The paper mentions privacy risks and the importance of secure communication in organizational environments, but does not extensively report on safety risks or limitations beyond these points.",S0460,29.9,0,7,0,2.0,2.0,2.0,1.0,Confirmed: Genuine offline hardware/simulation test.,7.0
2,"The models are evaluated using a set of questions that includes both factoid and descriptive type of questions. The experimental results reveal that modern small language models significantly outperform traditional disjoint pipelines the task. The Gemma-3-4B-IT, a light-weight small language model emerged as the optimal architecture, achieving the best balance between high-resolution visual understanding and low-latency inference. It achieved an F1-score of 90.34%, and BLEU, ROUGE-L, BERT Score, SAS and average-latency of 0.34, 0.88, 0.97, 0.17 and 2.24 sec respectively.",2,"The models are evaluated using a set of questions that includes both factoid and descriptive type of questions. The experimental results reveal that modern small language models significantly outperform traditional disjoint pipelines the task. The Gemma-3-4B-IT, a light-weight small language model emerged as the optimal architecture, achieving the best balance between high-resolution visual understanding and low-latency inference. It achieved an F1-score of 90.34%, and BLEU, ROUGE-L, BERT Score, SAS and average-latency of 0.34, 0.88, 0.97, 0.17 and 2.24 sec respectively.",1,"However, the deployment of such a relevant model in real-world disaster zones faces a critical barrier of connectivity dependence. As noted in communication surveys, edge networks are often unstable during calamities, rendering cloud-based API models inaccessible to the ground rescue teams [1]. To address this limitation, research has increasingly pivoted toward edge artificial intelligence and the convergence of deep learning with edge computing [4], [5]. Deploying lightweight models directly on local hardware ensures operational resilience.",2,"The experimental results show that our Gemma-3-4B-IT, a lightweight small language model, is the optimal model for such a task, which provides high lexically and semantically accurate answers. With a response time of just 2.24 sec, it strikes the perfect balance between speed and intelligence, proving that small, local models are actually the safer bet for reliable disaster response. The findings confirm that 2B-4B parameter models can effectively bridge the gap between high-level reasoning and offline field deployment for the minor task of a domain-specific question answering system.",S0093,62.5,0,7,1,2.0,2.0,1.0,2.0,Passed through from draft.,7.0
1,"We propose a domain-adaptive pipeline that expands a small reference corpus, by retrieving and filtering data from general corpora. We use the resulting dataset to fine-tune a small language model for crisis-domain translation and then apply preference optimization to bias outputs toward CEFR A2-level English.",1,"Automatic and human evaluation shows that this approach improves readability, while maintaining strong adequacy.",0,The abstract does not mention any tests or simulations of offline or disconnected conditions.,0,The abstract does not discuss safety risks or limitations of the proposed system.,S0581,16.8,1,2,2,1.0,1.0,0.0,0.0,Passed through from draft.,2.0
1,"The paper describes the method of using LLMs to guide MARL policy learning and plans multi-UAV trajectories for efficient dynamic target search. However, it lacks detailed experimental design and reproducibility steps.",1,"The paper reports experimental results demonstrating that LLM-MAPPO outperforms baseline algorithms in terms of the number of searched targets and average area uncertainty, while ensuring collision avoidance. However, the evaluation is based on a small-scale test rather than a comprehensive benchmark.",0,The paper discusses the offline reward shaping scheme but does not test or simulate offline/disconnected conditions.,1,The paper mentions the hallucination risks of LLMs and the need for alignment between LLM-generated reward functions and mission objectives but does not provide a detailed safety assessment or limitations.,S0029,27.9,0,3,2,1.0,1.0,0.0,1.0,Passed through from draft.,3.0
1,"In a ten-scenario pilot evaluation, accuracy, end-to-end latency, and token usage are reported for three configurations.",1,"In a ten-scenario pilot evaluation, accuracy, end-to-end latency, and token usage are reported for three configurations.",0,No evidence of testing or simulating offline/disconnected conditions.,1,"Prototip, veri hazırlama ve hesaplama maliyetleri nedeniyle sınırlı bir bölge üzerinde değerlendirilmiştir. İlgi noktası verisinde tesis türü bilgisinin farklı biçimlerde yer alması ya da eksik olması, tür eşleştirmesini güçleştirmektedir [6]. Ayrıca bulut tabanlı BDM kullanımı gecikme ve maliyet baskısı yarattığından, bu çağrılar zorunlu bir bileşen olarak değil, kademeli bir destek katmanı olarak ele alınmıştır.",S0097,31.3,0,3,2,1.0,1.0,0.0,1.0,Passed through from draft.,3.0
1,"To address these challenges, we present DamageScope, a retrieval-augmented framework that combines satellite imagery with Vision-Language Models (VLMs) and Large Language Models (LLMs) to automate property damage analysis.",1,"Evaluation on the xBD [31] benchmark shows that our multi-vector clustering approach outperforms its single-vector counterpart, achieving gains of up to 0.20 in Normalized Mutual Information (NMI) [29], 0.26 in Fowlkes-Mallows Score (FMS) [10], and 0.26 in Adjusted Rand Index (ARI) [14].",0,None of the provided extracts mention any offline or disconnected conditions being tested or simulated.,1,"The system retrieves relevant information from the data store and provides it as context to an LLM [21] along with the query, which then generates a comprehensive, context-aware response.",S0717,35.0,0,3,2,1.0,1.0,0.0,1.0,Passed through from draft.,3.0
1,A developmental-descriptive research design was adopted in the investigation. The developmental aspect consisted of the design and deployment of a web-based chatbot prototype. The descriptive aspect evaluated current DRRM communication methods and user approval using the Technology Acceptance Model.,1,"The TAM-based evaluation showed a very high level of initial user acceptance(Davis, 1989). The respondents rated the chatbot highly in terms of perceived usefulness, perceived ease of use, attitude toward using, and behavioral intention to use.",0,The system uses an embedding model to turn user queries and bits of knowledge into vectors. An acceptable knowledge chunk retrieval was performed via a vector database. The LLM then produced localized Cebuano–English replies from the recovered chunks.,1,"The creation of the DRRM knowledge repository has helped to systematically organize official disaster-related information into knowledge chunks that can be easily retrieved. This is important because the chatbot doesn't only rely on general AI-generated responses. Instead, it pulls approved information from the repository and then produces responses(Lewis, 2020). This approach produces more realistic responses and enables safer communication in a DRRM context.",S0722,39.1,0,3,2,1.0,1.0,0.0,1.0,Passed through from draft.,3.0
1,"The methodological description is basic, focusing on the integration of a domain-specific knowledge base with dense vector retrieval and controlled generation. The framework is described but lacks detailed experimental design or reproducibility steps. 

[eval] 'The framework integrates a domain-specific knowledge base derived from authoritative emergency guidelines, including safety regulations, response procedures, and accident reports, with dense vector retrieval and controlled generation.'

[method] 'The framework integrates a domain-specific knowledge base derived from authoritative emergency guidelines, including safety regulations, response procedures, and accident reports, with dense vector retrieval and controlled generation.'",1,"The evaluation is based on a dedicated question–answer dataset derived from the European Emergency Response Guide for Hydrogen, but the scale and metrics are not fully detailed. The results show improvements over other models but do not provide comprehensive benchmarking.

[eval] 'A dedicated question–answer dataset derived from the European Emergency Response guide was developed for evaluation. Experimental results showed that the proposed framework achieved substantial improvements in key metrics: it outperformed GPT-5.3 by 36.9% and Qwen-3.6-plus by 78.4% in overall performance, while also achieving significant improvements in numerical accuracy and faithfulness.'",0,"There is no evidence that the paper tests or simulates offline or disconnected conditions. The offline relevance is discussed as a motivation but not tested.

[offline] 'However, standalone LLMs exhibit fundamental limitations when applied to hydrogen safety and emergency response scenarios. Hydrogen-related regulations, safety standards, and operational guidelines are continuously evolving, while domain-specific knowledge such as safety thresholds, emergency procedures, and accident case analyses cannot be fully encoded within the parametric memory of LLMs. Consequently, LLMs are prone to generating factually inaccurate, outdated, or hallucination, with limited traceability to authoritative sources.'",1,"The paper mentions limitations and safety risks but does not provide a comprehensive report on safety risks or limitations. The risks are discussed in the context of hallucinations and factual inaccuracies.

[safety] 'Hydrogen-related regulations, safety standards, and operational guidelines are continuously evolving, while domain-specific knowledge such as safety thresholds, emergency procedures, and accident case analyses cannot be fully encoded within the parametric memory of LLMs. Consequently, LLMs are prone to generating factually inaccurate, outdated, or hallucination, with limited traceability to authoritative sources. Such deficiencies are particularly problematic in safety-critical applications, where decision reliability, explainability, and compliance with regulatory standards are strictly required.'",S0765,64.1,0,3,2,1.0,1.0,0.0,1.0,Passed through from draft.,3.0
1,"The methodological description is basic, focusing on the modular architecture with specialized software agents managing perception, memory, reasoning, and action separately. The core innovation lies in the integration of a large language model (LLM) as an orchestrator agent, but specific details on the methodological rigor are not provided.",0,There is no mention of real benchmark/dataset/user evaluation with metrics. The paper discusses the potential benefits and theoretical framework but does not provide empirical evidence or evaluation results.,1,"The paper discusses offline and disconnected conditions as a motivation, stating that the system aims to reduce cognitive load on human operators in unpredictable scenarios. However, it does not TEST or SIMULATE offline/disconnected conditions.",1,"The paper mentions limitations, such as the current hardware system's main limitation being the power of each component compared to its industrial/commercial counterparts. However, it does not report safety risks or limitations comprehensively.",S1214,32.8,0,3,2,1.0,0.0,1.0,1.0,Passed through from draft.,3.0
1,"The paper describes a foundational design principle and system architecture, including the semantic cache, intent routing, and three-tier agent model. However, it lacks detailed methodological steps or reproducibility details (e.g., specific algorithms, parameters, or implementation details).",0,The paper mentions planned evaluation but does not provide real benchmark/dataset/user evaluation with metrics. It only outlines future evaluation plans without presenting empirical results.,1,The paper discusses offline conditions as a core requirement but does not TEST or SIMULATE offline conditions. It mentions the need for offline functionality but does not provide evidence of testing this aspect.,1,"The paper mentions safety risks and limitations, such as hallucination and connectivity issues, but does not report safety risks or limitations in a detailed manner. It acknowledges the risks but does not provide a thorough analysis or mitigation strategies.",S1425,34.1,0,3,2,1.0,0.0,1.0,1.0,Passed through from draft.,3.0
