survivor,collapsed,canonical,source
10.1109/jsac.2025.3643414,"['10.1109/jsac.2025.3643414', 'W7114927671']",,
10.1109/2575-8411.2026.00129,['10.1109/2575-8411.2026.00129'],,
10.1109/tccn.2026.3722837,['10.1109/tccn.2026.3722837'],,
10.1109/lra.2026.3655265,['10.1109/lra.2026.3655265'],,
10.1109/mic.2025.3570554,['10.1109/mic.2025.3570554'],,
W4411950697,"['10.1109/iucc65928.2024.00027', '10.1109/iucc65928.2024.00027']",,
10.1109/jbhi.2025.3622508,['W4416024775'],,
W4414742476,"['10.1109/icassp55912.2026.11464372', '10.1109/icassp55912.2026.11464372']",,
10.1109/comst.2026.3683120,['10.1109/comst.2026.3683120'],,
10.1109/3ict68299.2025.11442234,['10.1109/3ict68299.2025.11442234'],,
10.1109/ic-icns68863.2026.11537871,['10.1109/ic-icns68863.2026.11537871'],,
10.1109/jbhi.2026.3680772,['10.1109/jbhi.2026.3680772'],,
10.1109/ichi61247.2024.00092,['10.1109/ichi61247.2024.00092'],,
10.1109/ijcnn64981.2025.11229203,['10.1109/ijcnn64981.2025.11229203'],,
W7130613445,['10.1109/iciiet65921.2025.11377539'],,
W7161125770,['10.1109/mcom.001.2500767'],,
W4401880307,['10.1109/compsac61105.2024.00351'],,
W7130731173,"['10.1109/swc65939.2025.00239', 'W4414970983']",,
W7123597706,['10.1109/ictbig68706.2025.11323835'],,
W7135218993,['10.1109/mwc.2026.3666489'],,
W7124993932,['10.1109/icaaic64647.2025.11330630'],,
W4416249568,['10.1109/ijcnn64981.2025.11227412'],,
W4410228793,['10.1109/pdgc64653.2024.10984154'],,
W4415202833,['10.1109/iccv51701.2025.00099'],,
W7130682610,['10.1109/computingcon64838.2025.11378017'],,
sc_0103,"['sc_0125', 'sc_0131', 'sc_0135', 'sc_0137']",,
sc_0237,"['sc_0238', 'sc_0240', 'sc_0254']",,
sc_0242,"['sc_0243', 'sc_0244', 'sc_0245', 'sc_0247', 'sc_0248', 'sc_0252']",,
sc_0262,['sc_0263'],,
W7147025616,"['W7124158958', 'W7124143527']",,
W7158640018,"['W7159734216', '2604.26597v1']",,
W7129328134,['W7130236478'],,
W7168289904,['W7168305890'],,
W4415314389,['2510.06263v1'],,
W7202244585,['2608.10273v1'],,
W7158937755,"['W7159733836', '2604.26766v1']",,
W7160332441,['W7160341876'],,
W4416435594,['2511.01289v1'],,
W7159610899,['W7159593392'],,
W7162336930,['W7162334415'],,
W7152633449,"['W7153670791', '2604.07003v2']",,
W7148569041,['W7148602665'],,
W7159649894,['2604.13075v2'],,
W7118375761,"['W7119233014', '2601.00513v1']",,
W7140327144,['W7140309261'],,
W7170154525,"['W7170989308', '2607.19608v1']",,
W4396758671,"['W4391244640', '2401.13298v1']",,
W7125422347,"['W7125460184', '2601.14290v1']",,
W7167204146,['W7167352068'],,
W7157287096,"['W7158422958', '2604.23263v1']",,
W7201973005,['W7201949960'],,
W7128599662,['W7169287397'],,
W7203604614,['2608.13787v1'],,
W7167631839,"['W7167748787', '2607.02869v1']",,
W7104259013,['W7104311428'],,
W7204236193,"['W7204233110', 'W7204271777']",,
W7158097861,"['W7117262368', 'W7148835941']",,
W7117327379,['W7148910007'],,
W7140412218,"['W7141772337', '2603.23954v1']",,
W7166874808,"['W7160933577', 'W7161091938', '2605.10171v1']",,
W4401306743,['2407.21630v2'],,
W7140306232,"['W7140953397', '2603.22866v1']",,
W7165792965,"['W7165972921', '2606.23695v1']",,
W7162503729,['W7162699706'],,
W7106373385,['W7106235811'],,
W7158627932,"['W7158527758', 'W7159119776', 'W7158985392']",,
W7159851489,['W7159870651'],,
W7202031018,['W7202036840'],,
W7165359924,['W7165357695'],,
W7206159375,['W7165564659'],,
W7127139995,['W7125644628'],,
W7108078613,['W7108069202'],,
W7169802057,"['W7169770120', 'W7169783276']",,
W7172202253,['W7172215907'],,
W7115680432,"['W7115711488', 'W7115901782']",,
W7148487374,['W7149210741'],,
W7163183567,['W7163597217'],,
W7165561061,['W7165596412'],,
W7154702015,['W7154691105'],,
W7169855556,['W7169841901'],,
W7149694361,['W7149547442'],,
W7126386525,['W7126429204'],,
W7201887273,['W7201841149'],,
W7129009206,"['W7129180805', '2602.12284v1']",,
W4417513084,['2505.06399v1'],,
W7128645888,['W7128632648'],,
W7161846176,['W7162045215'],,
W7204208046,['2608.21529v1'],,
W7153776919,['W7153779095'],,
W7207648468,['W7164823483'],,
W7164954750,['W7148818559'],,
W7167267911,['W7167212366'],,
W4403550978,['W4403509394'],,
W4411427556,['W7127629239'],,
W4404783072,"['W4403578683', '2410.12475v2']",,
W4415427436,"['W4417149474', '2503.16477v1']",,
W4406449971,['2501.08208v2'],,
W4411665982,['W4407957142'],,
W4405765376,['2412.16176v1'],,
W7108244596,['W7108247408'],,
W7124946072,['2511.21877v1'],,
W7169226813,"['W7169633970', '2607.13038v1']",,
W4415058463,['2505.20521v2'],,
W7159653725,['W7159597512'],,
W7171497280,"['W7171748682', '2607.23132v1']",,
W4416527846,['2511.10900v2'],,
W7160499232,"['W7161298858', 'W7160519806', 'W7160506386']",,
W7138904182,"['W7139146512', 'W7165782003', '2603.16495v1']",,
W7167610494,"['W7167747724', '2607.05055v1']",,
W7140444488,['W7140542588'],,
W7165127910,['W7165174710'],,
W7160626352,"['W7160596919', 'W7160698414']",,
W7167809262,['W7167785968'],,
W7204546629,['W7204708597'],,
W4391784296,['W4391563788'],,
W4412888059,['W4414850270'],,
W4399911213,['2406.13805v1'],,
W7117577866,"['W7123254644', 'W7123371842']",,
W4416035742,['W4416830000'],,
W4395044467,['W7110983302'],,
W7165165530,['W7165219748'],,
W4416036780,['W4417097881'],,
W4404781339,['W4404089147'],,
W4413360566,['2508.03553v1'],,
W4416035234,['W4417298500'],,
W4402671803,['W4391987626'],,
W4416036852,['W4416117427'],,
W4412945731,['W4406793664'],,
W7123252152,['W7123371323'],,
W7124299578,['W7124358312'],,
W7166827489,"['W7123553437', 'W7124117186']",,
W4416036332,['W4415937818'],,
W7124424683,['W7124513137'],,
W7168396546,"['W7154211451', 'W7153954647', 'W7154538921']",,
W7124939488,['W4406890720'],,
W7163171164,['W7163597389'],,
W7133823998,['W7134016632'],,
W7105223810,['W7104857003'],,
W7202134642,['W7202230531'],,
W7131274501,['W7131284206'],,
W7161798567,['W7162044732'],,
W7161158404,['W7161159785'],,
W7206180544,"['W7206194169', 'W4403795513']",,
W7154177581,['W7154427292'],,
W7153843095,['W7153712802'],,
W7163984971,['W7164234515'],,
W7167628479,['W7167746866'],,
W4417211988,['W4416049995'],,
W7171531728,['W7171748561'],,
W7162433532,['W7162606437'],,
W7172499403,['W7197054066'],,
W4415343540,['2507.02949v2'],,
W7111196492,['W7113916212'],,
W7154990167,['W7155245449'],,
W7160947420,['W7161091904'],,
W7160646157,['W7160727330'],,
W7117460868,['W7117476187'],,
W7165618382,['W7165817787'],,
W7161683657,['W7161916551'],,
W7117115912,['W7117927091'],,
W7108069537,['W7108078951'],,
W7123684716,['W7124117174'],,
W7161240324,['W7161452056'],,
W7127609723,"['W7127599303', 'W7119484242']",,
W4416239006,['2511.10375v1'],,
W7168156493,['W7168178439'],,
W7162553641,['W7162699710'],,
W7161236233,['W7125693910'],,
W7131381186,['W7131320177'],,
W7170150512,['W7170182059'],,
W7171540022,['W7171542411'],,
W7166527248,"['W7166900364', '2606.27786v1']",,
W7155085136,['W7155244759'],,
W7154726195,['W7154865317'],,
W7168284409,"['W7134810503', 'W7134861148']",,
W7154680933,['W7154865154'],,
W7147643807,['W7147745680'],,
W7208714988,['W7208749845'],,
W7154213475,['W7154285829'],,
W7147715429,['W7147955494'],,
W7160424886,['W7160565415'],,
W4415271154,['2510.12668v2'],,
W7167827120,['W7167981049'],,
W7118130091,"['W7118123076', 'W7119098701']",,
W7165059701,['W7165218716'],,
W7117121953,['W7117173475'],,
W7167016024,['W7167059640'],,
W7166841642,"['W7155921266', 'W7157506514']",,
W7167283955,['W7167379784'],,
W7154728034,['W7154865724'],,
W7153252939,['W7153670963'],,
W7196944058,"['W7163285976', 'W7163598231']",,
W7208837848,"['W7208822465', 'W7208809710', 'W7208836251']",,
W7127334606,['W7127431448'],,
W7130588722,['W7130617369'],,
W7140207391,['W7140346822'],,
W7139960205,['W7140001292'],,
W7161254461,['W7161451946'],,
W7172134974,['W7172111052'],,
W7166721753,"['W7161726481', 'W7161914794']",,
W7128395740,['W7128356260'],,
W7162774863,['W7162770570'],,
W7168298709,['W7168280657'],,
W7163812167,['W7163814609'],,
W7154405557,"['W7154539250', '2604.09682v1']",,
W7125808399,['W7125786611'],,
W7167080506,['W7167047259'],,
W7169844192,['W7170112368'],,
W7131103684,['W7162298199'],,
W7123478489,['W7124117553'],,
W7135215219,['W7135429382'],,
W7166693940,['W7166901562'],,
W7172276352,['W7172316790'],,
W7171617666,['W7172068158'],,
W7160052298,['W7160097211'],,
W7139005105,"['W7140495597', 'W7138989977']",,
W7162800446,['W7162784138'],,
W7149392603,['W7149376960'],,
W7151433556,['W7151608129'],,
W7139951295,['W7139964330'],,
W7148845334,['W7148941624'],,
W7143441255,['W7143379879'],,
W7141036179,"['W7141134499', 'W7141676488']",,
W7147632444,['W7147131092'],,
W7106164262,"['W7114997384', 'W7114801448', 'W7109785448']",,
W7117251344,"['W7116422922', 'W7117464836', 'W7122679085', 'W7126095389', 'W7128078594', 'W7126270662']",,
W7147342442,['W7147061508'],,
W7170926771,"['W7160920754', 'W7162948906']",,
W7164515776,['W7164557359'],,
W7164033159,['W7164072618'],,
W7134814343,"['W7134851253', 'W7134857320']",,
W4406657140,['2503.13415v2'],,
W4414855248,['2505.23847v5'],,
W4391591831,['2402.01968v2'],,
W7172005070,"['W7165065201', 'W7164962580', '2606.15077v1']",,
W4417068122,['2503.22719v1'],,
W4417285348,['W4414970448'],,
W7161027812,"['W7161204796', '2605.11633v1']",,
W4415370613,['W4414089258'],,
W7166866000,"['W7125676096', 'W7125759997', '2601.16965v1']",,
W4416451834,['2505.16455v1'],,
W4394661742,['2404.04752v2'],,
W4414769112,"['W7115075138', '2505.00820v1']",,
W4391212815,['2401.12975v1'],,
W7172387786,"['W7172557285', '2608.01645v1']",,
W4415262817,['2510.12061v2'],,
W4405470382,['2412.11761v2'],,
W7169845013,"['W7170111655', '2607.16269v1']",,
W4403579561,['2410.13384v1'],,
W7169887096,"['W7170111369', '2607.17437v1']",,
W7204267672,"['W7169857514', 'W7170111269', 'W7167873675', '2607.16249v1']",,
W4415337629,['2509.25034v4'],,
W7204931996,['2608.30730v1'],,
W7172290223,['W7155364623'],,
W7202127141,"['W7202231104', '2608.06949v1']",,
W7162679564,"['W7162818507', '2605.27957v1']",,
W7155049592,"['W7155245169', '2604.17615v1']",,
W7164075372,['W7164820346'],,
W7164929283,"['W7165065062', '2606.14989v1']",,
W7125398345,"['W7125459674', '2601.14437v1']",,
W4417209614,['2511.14010v2'],,
W7204146082,['2608.20983v2'],,
W7147038213,['W7146945226'],,
W7154588851,['W7154630028'],,
W7125162280,"['W7125352342', '2601.13653v1']",,
W7142728915,['W7142679595'],,
W7154350268,"['W7154539671', '2604.10475v2']",,
W7104028138,['W7104183271'],,
W7140985525,['W7141528237'],,
W4414842225,['2502.16565v2'],,
W7204897799,['2608.28628v1'],,
W7167034047,['W7156662061'],,
W7153772694,['W7153871901'],,
W7108731071,['W7108669543'],,
W7125205457,"['W7125352235', '2601.12259v1']",,
W7148943173,['W7148720420'],,
W7152748288,['W7150759976'],,
W7172339352,['W7172326188'],,
W7147709977,['W7147296618'],,
W7154741292,['W7154714146'],,
W7146977555,['W7147038720'],,
W7171877336,['W7171769616'],,
W7152966088,['W7152999318'],,
W7147055872,['W7147638831'],,
W7166702576,['W7166694777'],,
W7154243087,['W7154261792'],,
W7167475478,['W7167515930'],,
W4403075667,"['W4403623441', '2409.06351v1']",,
W4402703529,['2408.07531v2'],,
W7160612274,['W7160636843'],,
W7170681201,['W7170768245'],,
W7168925006,['W7169026353'],,
W7125709491,"['W7125760104', '2601.16529v4']",,
W7166821016,"['W7153296122', 'W7153669869', '2604.07549v2']",,
W4400487303,['2407.06025v1'],,
W7166837093,"['W7167154722', '2606.31038v1']",,
W7208750974,['W7208773659'],,
W7208728164,['W7208714278'],,
W7128004606,"['W7128096735', '2602.04197v1']",,
W7125513813,['W7125567252'],,
W7164386239,"['W7164615044', '2606.12142v1']",,
W7118536269,"['W7119235295', '2601.01522v1']",,
W7202293564,['W7202243567'],,
W7138868800,['W7138926008'],,
W4415240578,['2508.14654v1'],,
W7203717758,['2608.16349v1'],,
W4415949664,['2510.16080v1'],,
W4408443816,['W4411334503'],,
W7169767528,"['W7202184865', '2608.07520v1']",,
W7162392471,['W7162401661'],,
W7167331003,['W7167352921'],,
W7154418206,"['W7155519698', 'W7154538878', '2604.10989v1']",,
W7164966279,"['W7165219421', '2606.15121v2']",,
W7133729037,"['W7134017257', '2603.04142v1']",,
W7204181678,['2608.21602v1'],,
W7130724092,"['W7130762692', '2602.17308v1']",,
W7196923922,['W7202136550'],,
W7161803445,"['W7162044496', '2605.19351v1']",,
W7116947094,['W7116936379'],,
W7204874501,['2608.30938v1'],,
W7171710314,"['W7171902558', '2607.25485v1']",,
W7167204834,['W7167243001'],,
W7154363494,"['W7154538709', '2604.10866v2']",,
W7131651870,['W7131675521'],,
W7134853860,"['W7134859801', '2603.08164v2']",,
W7164913675,['W7164886904'],,
W7155399541,['W7155383741'],,
W4414586350,['2505.19486v2'],,
W7159622006,['W7159627215'],,
W7204160179,['2608.21387v1'],,
W7172219637,['W7172218893'],,
W7170627264,['W7125142339'],,
W7204157980,['W7204172213'],,
W4416036200,['W4415250990'],,
W4406260141,['W4392735828'],,
W4412944208,"['W4409291606', '2504.03255v2']",,
W4410986371,['W4406033223'],,
W4389217265,['2311.17227v2'],,
W4412396150,['W4416053173'],,
W7160408279,['W7160565515'],,
W4399364678,"['W4390722389', '2401.03408v1']",,
W7166518485,"['W7135083320', 'W7135156131']",,
W7147701522,['W7117237031'],,
W7161377903,"['W7124449835', '2601.10102v6']",,
W7163774026,['W7163756460'],,
W7204568785,['2608.26372v1'],,
W4409470384,['W4410490928'],,
W4392822408,['2403.08251v4'],,
W7208804702,['W7208827481'],,
W7155068324,"['W7155246366', '2604.16339v1']",,
W7110994806,['W7114821211'],,
W7164937174,['W7165063973'],,
W7127308826,"['W7127541844', '2602.00755v1']",,
W7170507572,['W7170784961'],,
W7155058168,"['W7125857254', 'W7125877379']",,
W7132825246,['W7132828177'],,
W4416248332,['W4415335565'],,
W4402811096,['W4399151813'],,
W7153991784,['W7154656223'],,
W7167583732,['W7167748854'],,
W7154458881,['W7154655472'],,
W4406139716,['W4406173299'],,
W7124278214,['W7124358462'],,
W7156954790,['W7158422853'],,
W7169609852,['W7169688326'],,
W4416372181,['2510.03514v1'],,
W7128608923,['W7128648202'],,
W7169837778,['W7170112173'],,
W7161722315,['W7161916163'],,
W7133984771,['W7134017352'],,
W7168252655,['W7168433225'],,
W7133220408,['W7133267331'],,
W7134850346,['W7134859758'],,
W7162456010,['W7162606545'],,
W7165779598,['W7165973042'],,
W7161243123,['W7161452383'],,
W7160954471,"['W7161090233', '2605.09647v1']",,
W7160844384,['W7160969223'],,
W7165906364,['W7165946629'],,
W7171849062,['W7172068627'],,
W7172301208,['W7172473337'],,
W7108206828,['W7108248227'],,
W7169682501,"['W7169649420', 'W7169676297']",,
W7197012196,"['W7129668202', 'W7130481885']",,
W7135182952,['W7135428854'],,
W7154830615,['W7154850384'],,
W7165871058,['W7166252440'],,
W7133339886,['W7133363671'],,
W7117972644,['W7118044613'],,
W4399986584,['2406.14662v3'],,
W7163569988,['W7163720361'],,
W7160611021,"['W7160726527', '2605.06527v1']",,
W7140286693,['W7140954390'],,
W7165645617,['W7165815995'],,
W7166669395,"['W7166901148', '2606.28456v1']",,
W7168154361,['W7168328923'],,
W7163401810,['W7163596417'],,
W7172397778,['W7172557887'],,
W7123906356,['W7124118058'],,
W7164134261,['W7164447182'],,
W7161835998,['W7162044869'],,
W7171550139,['W7171749801'],,
W7171791784,['W7172068101'],,
W7163803673,['W7163826031'],,
W7116916810,['W7117078473'],,
W7161600735,['W7161655037'],,
W7160040259,['W7160360473'],,
W7172299125,['W7167416221'],,
W7133329357,['W7133363652'],,
W7172007315,['W7172172773'],,
W7164477688,['W7164700619'],,
W7168361591,['W7169473756'],,
W7166862836,['W7167154662'],,
W7153797658,['W7153803317'],,
W4407759184,['2502.12197v1'],,
W7163679185,['W7163777791'],,
W7168129873,['W7168329093'],,
W7164168010,['W7164446744'],,
W7160691115,['W7160334287'],,
W4412505605,['W4416046444'],,
W7196971586,['W7201914861'],,
W7123278919,['W7123371634'],,
W7164019041,['W7164038514'],,
W7211904331,['W7211910582'],,
W7154226224,['W7154538857'],,
W7166861604,['W7166855157'],,
W7168391278,['W7169473723'],,
W7164912273,['W7165064126'],,
W7124692425,['W7124817860'],,
W7163214544,['W7163598430'],,
W7164901599,['W7165064152'],,
W7164915987,['W7165064390'],,
W7161568703,"['W7161644968', 'W7161573792']",,
W7156884256,['W7157144845'],,
W7116951835,['W7117079131'],,
W7160910034,['W7161091005'],,
W7157146605,['W7158422341'],,
W7162853523,['W7162863952'],,
W7131664962,['W7131668502'],,
W7159655438,"['W7159891831', '2604.27221v1']",,
W7165197487,['W7161487860'],,
W7117321655,"['W7117339342', '2512.21028v1']",,
W7166826130,['W7167154964'],,
W7169759217,['W7169802273'],,
W7135051460,['W7135156161'],,
W7137946191,"['W7127566091', 'W7127740526']",,
W7163317726,['W7163597956'],,
W7127161056,"['W7127203834', '2601.23088v2']",,
W7156339464,['W7155952594'],,
W7138050205,"['W7125769015', 'W7125878120']",,
