stage_id,h2_q1,h2_q1_ev,h2_q2,h2_q2_ev,h2_q3,h2_q3_ev,q1_agree,q2_agree,q3_agree,pass2_used,h2_status,final_class,final_basis,title,year,venue,search_id
S1299,no,benchmark our LLM agent architecture,yes,benchmark our LLM agent architecture,yes,Natural Disaster Reports,True,True,True,True,RESOLVED_TRIPLE_PASS,INCLUDE_partial_BC_PENDING,"partial_BC_PENDING (q2+q3 yes, q1 no/unsure)","GANDR - Georelating Dataset, Metrics, and Evaluation",2025,,OA_q32
S1348,no,We demonstrate an LLM-guided multi-agent platform for coordinating evacuations during wildfires.,yes,We demonstrate an LLM-guided multi-agent platform for coordinating evacuations during wildfires.,yes,We demonstrate an LLM-guided multi-agent platform for coordinating evacuations during wildfires.,True,True,True,True,RESOLVED_TRIPLE_PASS,INCLUDE_partial_BC_PENDING,"partial_BC_PENDING (q2+q3 yes, q1 no/unsure)",LLM-Guided Multi-Agent Evacuation Coordination via Episodic Memory and Cognitive Task Analysis,2026,,OA_q33|SCOPUS_S2
S1408,unsure,"a practical multi-agent architecture that unifies LLM, and geospatial analysis",yes,"a multi-agent design-LLM Orchestrator, OSM Facility Retrieval, Boundary Retrieval, Population Retrieval, and Analysis & Reporting",yes,Equitable access to emergency services is a core requirement for urban resilience,True,True,True,True,RESOLVED_TRIPLE_PASS,OUT,"partial_BC_PENDING (q2+q3 yes, q1 no/unsure)",SiagaJakarta: An Agentic GeoAI Framework for Autonomous Geospatial Analysis of Emergency Services,2025,,IEEE_core|IEEE_supp|OA_q33
S1411,no,LLM-generated strategies frequently suffer from semantic instability and execution inconsistency,yes,"H-J, a hierarchical multi-agent framework that integrates knowledge-guided prompting, entropy-constrained generation, and feedback-driven optimization",yes,"effective decision making remains hindered by three key challenges: (1) managing trade-offs among competing goals (e.g., traffic flow, task completion, and risk mitigation) requires dynamic, context-aware strategies",True,True,True,True,RESOLVED_TRIPLE_PASS,INCLUDE_partial_BC_PENDING,"partial_BC_PENDING (q2+q3 yes, q1 no/unsure)",Entropy-Constrained Strategy Optimization in Urban Floods: A Multi-Agent Framework with LLM and Knowledge Graph Integration,2025,arXiv (Cornell University),AX_q3|OA_q33|OA_q48
S1436,no,LLM-agent evacuation framework,yes,multi-agent in a grid-based emergency simulation,yes,emergency simulation with an online prompt calibration loop,True,True,True,True,RESOLVED_TRIPLE_PASS,INCLUDE_partial_BC_PENDING,"partial_BC_PENDING (q2+q3 yes, q1 no/unsure)",Self-calibrating generative agents,2026,DR-NTU (Nanyang Technological University),OA_q33
S1442,unsure,"lightweight models optimized for specialized, resource-efficient tasks",yes,"A promising solution is to enable collaborative operation between large models that excel at complex reasoning and lightweight models optimized for specialized, resource-efficient tasks",yes,emergency traffic evacuation scenarios,True,True,True,True,RESOLVED_TRIPLE_PASS,OUT,"partial_BC_PENDING (q2+q3 yes, q1 no/unsure)",TaskON: Task-Oriented Networking for Agentic AI,2026,IEEE Network,IEEE_core|IEEE_supp|OA_q33|SCOPUS_S2
S3110,yes,LoRA adaptation for both expert and non-expert responders,yes,"dynamic, experience-driven decision support for disaster response",yes,Humanitarian Assistance and Disaster Relief (HADR) operations,True,True,True,True,RESOLVED_TRIPLE_PASS,INCLUDE_full_ABC,full_ABC (all yes),RAPTOR-AI for Disaster OODA Loop: Hierarchical Multimodal RAG with Experience-Driven Agentic Decision-Making,2026,arXiv,AX_q3
S3496,yes,"SafeMate, a retrieval-augmented AI assistant",yes,"SafeMate dynamically routes user queries to tools for document retrieval, checklist generation, and structured summarization.",yes,"delivering accurate, context-aware guidance to general users in both preparedness and active emergency scenarios",True,True,True,True,RESOLVED_TRIPLE_PASS,INCLUDE_full_ABC,"partial_BC_PENDING (q2+q3 yes, q1 no/unsure)",SafeMate: A Modular RAG-Based Agent for Context-Aware Emergency Guidance,2025,arXiv,AX_q3
S3510,no,Recent advances in Vision Language Models (VLMs) have created new opportunities for disaster response,yes,This study explores the viability of embedding VLMs as coordination agents within the human-UAV loop,yes,disaster response,True,True,True,True,RESOLVED_TRIPLE_PASS,INCLUDE_partial_BC_PENDING,"partial_BC_PENDING (q2+q3 yes, q1 no/unsure)",A Systems Engineering Framework for Vision-Language-Enabled UAV Triage and Disaster Response,2026,"AIAA AVIATION 2026 Forum, AIAA Paper 2026-4010, 2026",AX_q3
S4299,yes,"AI agents can be deployed across multiple nodes in a distributed setting, such as satellite platforms.",yes,This work proposes a hierarchical multi-agent architecture for onboard EO processing under strict resource and bandwidth constraints.,yes,Experiments on wildfire and flood monitoring scenarios show that the proposed routing-based pipeline significantly reduces computational overhead while maintaining coherent decision outputs.,True,True,True,True,RESOLVED_TRIPLE_PASS,INCLUDE_full_ABC,full_ABC (all yes),Beyond detection: cooperative multi-agent reasoning for rapid onboard EO crisis response,2026,arXiv,AX_q3
S0092,no,large language model (LLM) and multi-modal large models (MMLM),no,no verbatim quote supporting multi-agent architecture,yes,Detecting collapsed transmission line towers in remote sensing images is of great importance for post-disaster reconstruction of transmission lines.,,,,False,RESOLVED_TRIPLE_PASS,OUT,"partial_AC (q1+q3 yes, q2 no)",A Few-Shot Collapsed Transmission Tower Detection Method Combining Large and Small Models in Remote Sensing Image,2025,IEEE Access,IEEE_core|SCOPUS_S2
S0335,unsure,,unsure,,unsure,,,,,False,RESOLVED_TRIPLE_PASS,OUT,EXCLUDE (q3 no),Société Suisse de Gynécologie et d’Obstétrique (SGGG) Congress Congrès annuel de Gynécologie Suisse,2026,,SCOPUS_S2
S0460,yes,"Edge-RAG over Bluetooth Mesh, a retrieval-augmented generation framework designed to operate fully offline on mobile devices.",yes,a retrieval-augmented generation framework designed to operate fully offline on mobile devices.,yes,"deploying edge-native LLMs for disaster recovery, secure organizational use, and rural connectivity scenarios.",,,,False,RESOLVED_TRIPLE_PASS,INCLUDE_full_ABC,full_ABC (all yes),Edge-RAG over Bluetooth Mesh: A Multi-User Retrieval-Augmented LLM with Offline Connectivity for Mobile Chatbots,2026,"Procedia Computer Science , 283",SCOPUS_S2
S0578,unsure,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),"Tiny Models, Tough Limits: Benchmarking and Optimizing Small Language Models for Edge Deployment",2026,"Lecture notes of the Institute for Computer Sciences, Social Informatics and Telecommunications Engineering",OA_q1
S0580,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Leveraging Large Language Models to Address Communication and Misinformation Challenges to Enhance Information Coordination in Disaster Relief Operations,2026,Communications in computer and information science,OA_q1|OA_q3|OA_q41|OA_q6
S0587,unsure,,unsure,,unsure,,,,,False,RESOLVED_TRIPLE_PASS,OUT,"partial_AC (q1+q3 yes, q2 no) or full_ABC (all yes) or EXCLUDE (q3 no) - pending abstract content",Collaborate large and small language models for multi-modal emergency rumor detection,2025,Neural Networks,OA_q2|OA_q42
S0616,yes,Automated de-escalation and crisis intervention training using Small Language Models (SLMs).,no,,yes,Automated de-escalation and crisis intervention training using Small Language Models (SLMs).,,,,False,RESOLVED_TRIPLE_PASS,INCLUDE_partial_AC,"partial_AC (q1+q3 yes, q2 no)",DeEscalWild: A Real-World Benchmark for Automated De-Escalation Training with SLMs,2026,Harvard Dataverse,AX_q4|OA_q3
S0631,unsure,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Chain-of-Thought Responses to Misleading Context Under Quantization in Small Language Models,2026,SSRN Electronic Journal,OA_q6
S0632,unsure,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),"Small Language Models in Clinical Medicine: A Systematic Review of Performance, Safety, and Deployment Feasibility",2026,Research Square,OA_q46|OA_q6
S0634,unsure,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Internalizing persona knowledge in small language models via multi-objective contrastive learning,2026,Knowledge-Based Systems,OA_q6
S0639,unsure,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),MEPO-SLM: multi-objective evolutionary prompt optimization for energy-efficient small language models on edge devices,2026,Evolutionary Intelligence,OA_q46|OA_q6
S0655,no,,unsure,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Supporting Information Seeking in Software Development: A Design Theory for Local Retrieval-Augmented Generation Across Distributed Knowledge Sources,2026,Lecture notes in computer science,OA_q30|OA_q46|OA_q6
S0672,unsure,,yes,Dynamic reconfiguration in multi-robot agent systems using embedded language models,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Dynamic reconfiguration in multi-robot agent systems using embedded language models,2026,Robotics and Computer-Integrated Manufacturing,OA_q34|OA_q9
S0676,unsure,,unsure,,unsure,,,,,False,RESOLVED_TRIPLE_PASS,OUT,"partial_AC (q1+q3 yes, q2 no) or partial_BC_PENDING (q2+q3 yes, q1 no/unsure) or EXCLUDE (q3 no) — insufficient information to determine any axis",Dynamic Knowledge-Based Systems for Local Virtual Assistants: From LLM Outputs to Continuous Graph Construction,2026,SSRN Electronic Journal,OA_q34|OA_q9
S0680,unsure,,unsure,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Beyond Blocking: A Privacy-Preserving Local AI System for Empathic Game Coaching in Children,2026,SSRN Electronic Journal,OA_q9
S0695,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),A Llm-Based Agent for the Construction of Typhoon Knowledge Graphs,2025,SSRN Electronic Journal,OA_q25|OA_q32
S0696,no,,yes,A RAG-Based Approach for Safety-Critical Operations,no,Safety-Critical Operations,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),LLM-Powered UAVs: A RAG-Based Approach for Safety-Critical Operations,2025,Lecture notes in networks and systems,OA_q28|OA_q32
S0701,unsure,,unsure,,unsure,,,,,False,RESOLVED_TRIPLE_PASS,OUT,"partial_BC_PENDING (q2+q3 yes, q1 no/unsure)",Disaster Response Knowledge-Sharing System for Local Governments Using Retrieval-Augmented Generation Technology,2025,Lecture notes on data engineering and communications technologies,OA_q28|SCOPUS_S2
S0702,no,,no,,unsure,,,,,False,RESOLVED_TRIPLE_PASS,OUT,"partial_BC_PENDING (q2+q3 yes, q1 no/unsure)",Interactive Disaster Training Scenario Generation System with Large Language Models,2025,IFIP advances in information and communication technology,OA_q28
S0713,unsure,,unsure,,unsure,,,,,False,RESOLVED_TRIPLE_PASS,OUT,"partial_AC (q1+q3 yes, q2 no) or partial_BC_PENDING (q2+q3 yes, q1 no/unsure) or EXCLUDE (q3 no) — insufficient information to determine any axis",Self-organizing search on hierarchical normative hypergraphs for decision support in disaster medicine,2026,The European Physical Journal Special Topics,OA_q28|OA_q29|OA_q30|OA_q32|OA_q33|OA_q34|SCOPUS_S2
S0720,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),An Intelligent Q&A System for Geological Hazard Prevention Integrating Knowledge Graphs and Large Language Models,2026,SSRN Electronic Journal,OA_q28|OA_q29
S0749,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),203 Enhancing Artificial Intelligence Performance in Bilingual Emergency Medicine Board Exam: The Impact of Retrieval-Augmented Generation,2024,Annals of Emergency Medicine,OA_q29
S0751,unsure,,unsure,,yes,Emergency Response Systems in Adverse Channel Conditions,,,,False,RESOLVED_TRIPLE_PASS,OUT,"partial_AC (q1+q3 yes, q2 no)",RAG-LLM Driven Generative Semantic Communication for UAV-Assisted Emergency Response Systems in Adverse Channel Conditions,2026,,OA_q29
S0752,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Empowering building emergency response with large language models and BIM-Based knowledge graphs,2026,Advanced Engineering Informatics,OA_q29|OA_q33
S0753,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Prompt-to-policy: Leveraging large language models to guide deep reinforcement learning in public health emergencies,2026,Computer Methods and Programs in Biomedicine,OA_q29|OA_q33
S0757,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Uncovering compound urban crises with large language model-assisted knowledge graph construction,2025,International Journal of Disaster Risk Reduction,OA_q29
S0763,unsure,,unsure,,no,routine environmental monitoring,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),MeteoChat: A Fine-Tuned and RAG-Based LLM for Semi-Automatic Report Building in Environmental Monitoring,2026,Communications in computer and information science,OA_q29
S0770,unsure,,unsure,,yes,Emergency Rescue in Blockage-Type Tunnel Collapses,,,,False,RESOLVED_TRIPLE_PASS,OUT,"partial_AC (q1+q3 yes, q2 no)",A Knowledge-Constrained CBR–RAG Framework for Emergency Rescue in Blockage-Type Tunnel Collapses: A Case Study of the Tianshengqiao Tunnel,2026,SSRN Electronic Journal,OA_q29|OA_q48
S0778,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Development of an Application with Virtual Assistant Based on LLM for the Knowledge Domain on Anemia,2026,"World Congress on Medical Physics and Biomedical Engineering, September 7 - 12, 2009, Munich, Germany",OA_q29
S0787,unsure,,unsure,,unsure,,,,,False,RESOLVED_TRIPLE_PASS,OUT,"partial_AC (q1+q3 yes, q2 no) - but all axes are unsure due to lack of detail in abstract",EmergMind: An AI Diagnostic Assistant for Emergency Medicine,2026,SSRN Electronic Journal,OA_q29
S0788,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),67 EMERGENT: Emergency Medicine Resources and Guidelines Enhanced by Natural Language Text-Generation,2024,Annals of Emergency Medicine,OA_q29
S0796,unsure,,no,,unsure,,,,,False,RESOLVED_TRIPLE_PASS,OUT,"partial_AC (q1+q3 yes, q2 no)",AI-Driven Crowd Behavior Simulation for Emergency Evacuation Management,2026,Lecture notes in networks and systems,OA_q29
S0802,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),"Artificial Intelligence - Large Language Models (LLMs) and Agentic AI in Clinical Decision Support in Outpatient, General Practice and Acute Settings: A Systematic Review of Diagnostic Accuracy, Comparative Efficacy, Clinical Outcomes and Implementation Factors",2026,Research Square,OA_q29|OA_q33|OA_q48
S0811,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Large language models enhance reinforcement learning for public health resource allocation,2026,Applied Soft Computing,OA_q29|OA_q33
S0815,unsure,,unsure,,no,A Proof-of-Concept with Dual-AI Validation Architecture,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),AI-Based Clinical Decision Support System for Primary Health Care and Community Hospitals: A Proof-of-Concept with Dual-AI Validation Architecture,2026,Advances in sustainability science and technology,OA_q29|OA_q48
S0818,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),A Domain-specific Large Language Model for Diabetes Care and Management,2026,Research Square,OA_q29
S0828,no,,unsure,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),ARIA: An Autonomous Reasoning and Intervention Architecture for Bioregenerative Life Support Systems on Long-Duration Mars Missions,2026,Research Square,OA_q29|OA_q33|OA_q48
S0833,unsure,,no,,yes,obstetric hemorrhage management in low-resource settings,,,,False,RESOLVED_TRIPLE_PASS,OUT,"EXCLUDE (q3_ev is the only clear signal, but q1 and q2 are insufficient)",DoctorBOT: An AI-powered Chatbot for Evidence-Based Obstetric Hemorrhage Management in Low-Resource Settings,2025,Research Square,OA_q29
S0835,unsure,,unsure,,unsure,,,,,False,RESOLVED_TRIPLE_PASS,OUT,EXCLUDE (q3 no),A Proposed Model for Hybrid AI-based Social Support Systems,2026,SSRN Electronic Journal,OA_q29|OA_q33
S0845,unsure,,unsure,,unsure,,,,,False,RESOLVED_TRIPLE_PASS,OUT,"partial_BC_PENDING (q2+q3 unsure, q1 no/unsure)","Confidence-Conflict Routing Between Parametric Memory, RAG, and Long-Context LLMs",2026,,OA_q30
S0866,unsure,,unsure,,unsure,,,,,False,RESOLVED_TRIPLE_PASS,OUT,EXCLUDE (q3 no),Causal reasoning meets heuristic strategies: enhancing RAG through fine-tuning and knowledge interaction,2025,Knowledge-Based Systems,OA_q30
S0871,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Ragability Benchmark: A Dataset and Library to Test LLMs on Inter-context Conflicts,2026,,OA_q30
S0872,no,,unsure,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Trust-Aware KG-RAG: a framework for trustworthy question answering for engineering equipment,2026,Advanced Engineering Informatics,OA_q30|OA_q34
S0881,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),"Retrieval-Augmented Generation in Biomedicine: A Survey of Technologies, Datasets, and Clinical Applications",2025,Research Square,OA_q30|OA_q34
S0884,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Effective Modes of Transboundary Water-Related Cooperation to Turn Future Climate Conflict Risks into Opportunities,2025,Research Square,OA_q30
S0910,unsure,,unsure,RAG and LLM,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Contract Pre-Review Assistance System Based on RAG and LLM,2025,Lecture notes in networks and systems,OA_q30
S0927,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),LLM-RAG Intent Translation Meets Dual Time Scale Control for QoS-Guaranteed Video Services,2026,Communications in computer and information science,OA_q30
S0930,unsure,,unsure,,unsure,,,,,False,RESOLVED_TRIPLE_PASS,OUT,"partial_BC_PENDING (q2+q3 unsure, q1 no/unsure)",Ontology-driven Graph RAG for Traceable Compliance Reasoning and Conflict Detection in Modular Hospital Building Services Design,2026,SSRN Electronic Journal,OA_q30
S0940,no,,unsure,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),GCF-RAG: Graph context fusion-based RAG framework for industrial equipment operation and maintenance,2026,Advanced Engineering Informatics,OA_q30
S0950,no,,unsure,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),AGORAN: An agentic open marketplace for 6G RAN automation,2025,Computer Networks,OA_q30|OA_q34
S0952,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),CHORD: Context Homogeneity Analysis for Robust Defense Against RAG Poisoning Attacks,2026,Communications in computer and information science,OA_q30
S0970,no,LLMs,yes,"Retrieval-Augmented Generation with Evidence Graph (EG-RAG), which classifies inter-sentence relations as support, contradiction, or neutral using a Natural Language Inference (NLI) classifier to construct an evidence graph.",no,"conflict reasoning, mixed settings, multi-hop reasoning",,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,"partial_BC_PENDING (q2+q3 yes, q1 no/unsure)",EG-RAG: Retrieval-Augmented Generation with Evidence Graph for Reliable Multi-Document Reasoning,2026,,OA_q30|SCOPUS_S2
S0976,no,,unsure,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Trust-Aware KG-RAG: A Framework for Trustworthy Question Answering for Engineering Equipment,2025,SSRN Electronic Journal,OA_q30|OA_q34
S0979,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Evidence-Bound Persona Extraction with LLMs: Theory and Algorithms,2026,Lecture notes in networks and systems,OA_q30|OA_q34
S0990,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Multi-Artifact Versioning for LLM-Agent-Based Software,2026,SSRN Electronic Journal,OA_q30|OA_q34
S1017,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Vector Ternary Logic via Native H24 Leech-Lattice Quantization in LLMs,2026,SSRN Electronic Journal,OA_q30
S1022,no,Large Language Models (LLMs),yes,"BordaRAG, a model designed to better select the most appropriate documents from conflicting documents",no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,"partial_BC_PENDING (q2+q3 yes, q1 no/unsure)",BordaRAG: Resolving Knowledge Conflict in Retrieval-Augmented Generation via Borda Voting Process,2025,,OA_q30|SCOPUS_S2
S1023,no,,yes,Multi‑agent Retrieval‑Augmented Generation for Mitigating Knowledge Conflicts in Large Language Models,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),MARAG: Multi‑agent Retrieval‑Augmented Generation for Mitigating Knowledge Conflicts in Large Language Models,2026,Lecture notes in computer science,OA_q30|OA_q34
S1035,unsure,,unsure,,unsure,,,,,False,RESOLVED_TRIPLE_PASS,OUT,"partial_BC_PENDING (q2+q3 unsure, q1 no/unsure)",Write-Time Conflict Governance for TrustworthyDynamic RAG:An Auditable Temporal-Confidence DominanceProtocol,2026,SSRN Electronic Journal,OA_q30
S1046,unsure,,unsure,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),ID-GraphRAG: An Incremental Construction Framework of Document-Level Retrieval-Augmented Knowledge Graphs with Multi-agent Verification,2026,Lecture notes in computer science,OA_q30|OA_q34
S1054,unsure,,unsure,,unsure,,,,,False,RESOLVED_TRIPLE_PASS,OUT,EXCLUDE (q3 no),Knowledge Intensive Agents,2025,SSRN Electronic Journal,OA_q30|OA_q34
S1079,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),A Knowledge-Enhanced Fault Diagnosis Framework via Corrective Retrieval and Dynamic Evidence Fusion for Marine Engine Systems,2026,SSRN Electronic Journal,OA_q30
S1086,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),"Conceptual Models of Data Collection, Forecasting and Preparation Processes for Professional Analysis in Environmental Monitoring Information Systems",2025,Lecture notes in mechanical engineering,OA_q30
S1109,no,,no,,no,,,,,False,RESOLVED_TRIPLE_PASS,EXCLUDE,EXCLUDE (q3 no),Semanti-MOP: Bridging the semantic gap in automated architecture refactoring via instability-aware Large Language Models,2026,Information and Software Technology,OA_q30
