stage_id,title,search_id,audit_lane,q1_class,q2_arch,q3_domain,decision_basis,flag_slm_title,flag_dom_title,priority,human_should_be,human_rationale
S0727,Chemical process safety domain knowledge graph‐enhanced LLM for efficient emergency response decision support,OA_q29|OA_q48,OA_broad_10pct,no,no,no,E4 large-model-only (no smaller variant deployed/compared),True,True,True,correct_OUT,"The paper focuses on chemical process safety accidents, which are not directly related to disasters, emergencies, conflict, or civilian conflict/war/humanitarian crisis settings. It also does not involve small or edge language models, but rather large language models enhanced with a knowledge graph. Therefore, it fails the Axis C requirement and is off-topic."
S1411,Entropy-Constrained Strategy Optimization in Urban Floods: A Multi-Agent Framework with LLM and Knowledge Graph Integration,AX_q3|OA_q33|OA_q48,OA_broad_10pct,no,no,no,E7 no disaster/emergency/crisis/conflict domain,True,True,True,HUMAN_REVIEW,"Pass 1 (correct_OUT) vs Pass 2 (HUMAN_REVIEW): The paper focuses on urban flood management and does not address a disaster, emergency response, mass casualty, or civilian conflict setting. It also does not involve a small or edge language model for offline guidance."
S2092,Trust-Aware Multi-Agent Traceability: Confidence-Calibrated Knowledge Graphs for Consistent Software Artifact Management,OA_q34,OA_broad_10pct,no,no,no,E7 no disaster/emergency/crisis/conflict domain,True,True,True,correct_OUT,"The paper focuses on software engineering tasks and does not address a disaster, emergency response, mass casualty, or civilian conflict setting. It also does not involve small or edge language models, but rather a coordination framework for multi-agent AI systems in software engineering."
S10070,Toward a Modular Architecture for Embedded AI Agent Systems at the Edge,AX_q4,secondary_safety_5pct,no,yes,no,E7 no disaster/emergency/crisis/conflict domain,True,True,True,correct_OUT,"The paper focuses on the architecture of embedded AI systems and does not specify a disaster, emergency response, mass casualty, or civilian conflict setting. It also does not discuss Small or Edge Language Models for offline emergency guidance."
S0034,Research on Power Emergency Long Text Generation Technology Enhanced by Knowledge Graph Retrieval,IEEE_core|IEEE_supp|SCOPUS_S2,strict,no,no,no,E7 no disaster/emergency/crisis/conflict domain,True,True,True,correct_OUT,"The paper focuses on power emergency long text generation and does not address a disaster, emergency response, mass casualty, or civilian conflict/war/humanitarian crisis setting. It also does not involve small or edge language models, but rather a large model framework. Therefore, it fails both Axis A and Axis C."
S0078,DualTeach: Disagreement-Aware Dual-Teacher Distillation for Reliable Agentic Services,IEEE_core|IEEE_supp,strict,no,no,no,E7 no disaster/emergency/crisis/conflict domain,True,True,True,correct_OUT,"The paper focuses on a framework for distilling compact reasoning models for agentic services, but it does not address a disaster, emergency response, mass casualty, or civilian conflict/war/humanitarian crisis setting. It is primarily concerned with model size and performance optimization for edge computing, which does not align with the critical mandatory rule for the review."
S0081,Evidence-Guided LLM Agents for Offline Microarchitectural Attack Triage,IEEE_core|IEEE_supp|SCOPUS_S2,strict,no,no,no,E7 no disaster/emergency/crisis/conflict domain,True,True,True,correct_OUT,"The paper focuses on microarchitectural attacks, which is not related to disaster, emergency response, mass casualty, or civilian conflict/war/humanitarian crisis settings. It also does not involve small or edge language models for offline emergency guidance."
S0088,Edge-Aware RIS-Assisted Dynamic Channel Allocation With Lightweight LLM Decision Agent for Interference Mitigation in Low-Altitude Remote Sensing Networks,IEEE_core|IEEE_supp|OA_q23|OA_q32|SCOPUS_S2,strict,no,no,no,E4 large-model-only (no smaller variant deployed/compared),True,True,True,correct_OUT,"The paper focuses on a large language model (LLM) for interference mitigation in low-altitude remote sensing networks, which does not directly address a disaster, emergency response, mass casualty, or civilian conflict setting. It also does not involve a small or edge language model, but rather a large one. Therefore, it fails both Axis A and Axis C."
S3042,Enhancing Long-Chain Reasoning Distillation through Error-Aware Self-Reflection,AX_q1|AX_q5,strict,no,no,no,E7 no disaster/emergency/crisis/conflict domain,True,True,True,correct_OUT,"The paper focuses on enhancing reasoning capabilities in Small Language Models (SLMs) through a framework called ORION, which involves error-aware self-reflection. However, it does not address any disaster, emergency response, mass casualty, or civilian conflict/war/humanitarian crisis setting. The context is purely about improving the performance of LLMs in mathematical reasoning tasks, which does not align with the required Axis C setting."
S3081,Taming Asynchronous CPU-GPU Coupling for Frequency-aware Latency Estimation on Mobile Edge,AX_q1,strict,no,no,no,E7 no disaster/emergency/crisis/conflict domain,True,True,True,correct_OUT,"The paper focuses on latency estimation for mobile edge applications, which does not fit the disaster, emergency response, mass casualty, or civilian conflict/war/humanitarian crisis setting. It also does not involve any language models or the comparison of large vs small models."
S0101,Towards Circular Accumulation of Latent Local Knowledge via Automated Interview System: A Preliminary Study,IEEE_core|IEEE_supp,strict,no,no,no,E7 no disaster/emergency/crisis/conflict domain,True,True,True,correct_OUT,"The paper does not focus on a disaster, emergency response, mass casualty, or civilian conflict/war/humanitarian crisis setting. It discusses the accumulation of local knowledge for regional development domains such as tourism and regional policy."
S0136,Chimera: An Efficient Multimodal Embodied Inference Framework with Complexity-Aware Edge-Cloud Routing,IEEE_core|IEEE_supp|SCOPUS_S2,strict,no,no,no,E7 no disaster/emergency/crisis/conflict domain,True,True,True,correct_OUT,"The paper focuses on an efficient multimodal embodied inference framework for smart scenarios such as smart household, which does not align with the disaster, conflict, or emergency response settings required by the review. Additionally, the paper does not discuss the use of small or edge language models for emergency guidance, making it off-topic."
S0137,Workflow-Aware Expert Routing for Distributed LLM Serving Over the Edge-Cloud Continuum,IEEE_core|IEEE_supp|SCOPUS_S2,strict,no,no,no,E4 large-model-only (no smaller variant deployed/compared),True,True,True,correct_OUT,"The paper discusses the deployment of LLMs over the edge-cloud continuum, focusing on network topology and workflow dependencies. However, it does not address any disaster, emergency response, mass casualty, or civilian conflict/war/humanitarian crisis setting. Therefore, it fails the Axis C requirement."
S0333,Towards intelligent knowledge assistance in abrasive belt grinding via a retrieval-augmented generation chatbot with reliability support,SCOPUS_S2,strict,no,no,no,E7 no disaster/emergency/crisis/conflict domain,True,True,True,correct_OUT,"The paper focuses on abrasive belt grinding, which is not a disaster, emergency response, mass casualty, or civilian conflict setting. It also does not involve small or edge language models for offline emergency guidance in disaster and conflict settings."
S0499,Typhoon Disaster Knowledge Service Driven by Large Language Models: Key Technologies and Applications | 大语言模型驱动的台风灾害知识服务:关键技术与应用,SCOPUS_S2,strict,no,no,yes,no_axis_match,True,True,True,INCLUDE_partial_AC,"The paper discusses the use of large language models (LLMs) in typhoon disaster management, which is a disaster setting. However, it does not explicitly focus on small or edge language models, which are the primary focus of the review. The paper's main contribution is in the domain of disaster management, which aligns with Axis C, but it does not clearly state the use of small or edge models, hence the partial inclusion."
S0574,Advanced Digital Technologies in the Post-Disaster Reconstruction Process—A Review Leveraging Small Language Models,OA_q1,strict,no,no,no,E7 no disaster/emergency/crisis/conflict domain,True,True,True,correct_OUT,"The paper focuses on post-disaster reconstruction, which is not a disaster, emergency response, mass casualty, or civilian conflict setting. It does not meet the critical mandatory rule for Axis C."
S0579,Knowledge Graph-Driven Training Data Construction for Urban Flood-Traffic Scenario Generation Using Small Language Models,OA_q1,strict,no,no,no,E7 no disaster/emergency/crisis/conflict domain,True,True,True,correct_OUT,"The paper focuses on generating urban flood-traffic scenarios for disaster preparedness, but it does not specify a disaster, emergency response, mass casualty, or civilian conflict setting. It is primarily about the methodology for training language models and does not directly address a disaster or conflict scenario."
S0585,Resilient Edge Intelligence: Integrating Swarm Logic with Lightweight Agents and Localised SLMs,IEEE_core|OA_q1|SCOPUS_S2,strict,no,no,yes,no_axis_match,True,True,True,INCLUDE_partial_AC,"The paper discusses a novel paradigm for edge computing in unreliable environments, which could be relevant to disaster settings. However, the specific model size (small/edge/quantized/distilled/on-device LLM) is not clearly stated. The paper focuses on the architecture and theoretical principles rather than a specific small or edge language model application in a disaster setting."
S0591,Small Language Models for Emergency Departments Decision Support: A Benchmark Study,AX_q1|AX_q5|IEEE_supp|OA_q2|OA_q42,strict,no,no,no,E7 no disaster/emergency/crisis/conflict domain,True,True,True,correct_OUT,"The paper focuses on emergency departments, which is a form of emergency response, but it does not meet the critical mandatory rule of being centrally set in a disaster, emergency response, mass casualty, or civilian conflict/war/humanitarian crisis setting. The study is about benchmarking small language models for decision support in emergency departments, which is off-topic as it does not directly address the use of small or edge language models in disaster or conflict settings."
S0595,Domain-Adapted Small Language Models for Reliable Clinical Triage,AX_q1|AX_q5|OA_q2|OA_q42,strict,no,no,no,E7 no disaster/emergency/crisis/conflict domain,True,True,True,correct_OUT,"The paper focuses on emergency department triage, which is not set in a disaster, emergency response, mass casualty, or civilian conflict setting. It also does not involve small or edge language models for offline emergency guidance in disaster or conflict settings."
S0596,End-to-End Pipeline Integrating Local Small Language Models and Machine Learning for Data Extraction and Stroke Outcome Prediction in Emergency Department,OA_q2,strict,no,no,no,E7 no disaster/emergency/crisis/conflict domain,True,True,True,correct_OUT,"The paper is set in a routine hospital emergency department (ED) context, which does not meet the requirement of being in a disaster, emergency response, mass casualty, or civilian conflict setting. It also does not involve small or edge language models for offline emergency guidance in disaster or conflict settings."
S0598,Solving Emergency Department Triage with Small Language Models: Why Large Commercial Models Fail and How Specialized Training Achieves Clinical Accuracy,OA_q2,strict,no,no,yes,no_axis_match,True,True,True,correct_OUT,"The paper focuses on routine hospital emergency department (ED) triage, which does not meet the requirement of being set in a disaster, emergency response, mass casualty, or civilian conflict/war/humanitarian crisis setting. It also does not involve small or edge language models for offline use in such settings."
S0607,"Failure Modes of MedGemma-1.5-4B in Safety-Critical Obstetric Triage: Catastrophic Forgetting, Magnitude Hallucination, and the Limits of General Medical Pretraining",OA_q2|OA_q46,strict,no,no,no,E4 large-model-only (no smaller variant deployed/compared),True,True,True,correct_OUT,"The paper does not focus on a disaster, emergency response, mass casualty, or civilian conflict/war/humanitarian crisis setting. It discusses maternal mortality in a rural setting but does not address a disaster or conflict scenario. The model is used for obstetric triage, which is not directly related to the review's focus on small and edge language models for offline emergency guidance in disaster and conflict settings."
S0626,Task Competence Is Not Instruction Following: Evaluating Instruction-Conflicting Behavior in Small Language Models,AX_q2|OA_q6,strict,no,no,no,E7 no disaster/emergency/crisis/conflict domain,True,True,True,correct_OUT,"The paper does not focus on a disaster, emergency response, mass casualty, or civilian conflict setting. It is centered on evaluating the behavior of small language models in response to conflicting instructions across different tasks. Therefore, it fails the Axis C requirement."
S0636,Reward Granularity in RLVR: Comparing Process and Outcome Reward Structures for Mathematical Reasoning in Small Language Models,AX_q1|AX_q2|OA_q6,strict,no,no,no,E7 no disaster/emergency/crisis/conflict domain,True,True,True,correct_OUT,"The paper does not focus on a disaster, emergency response, mass casualty, or civilian conflict/war/humanitarian crisis setting. It discusses the use of reinforcement learning with verifiable rewards (RLVR) for improving mathematical reasoning in small language models, which does not meet the Axis C requirement."
S0645,Towards Energy-aware Requirements Dependency Classification: Knowledge-Graph vs. Vector-Retrieval Augmented Inference with SLMs,AX_q2|AX_q5|OA_q6,strict,no,no,no,E7 no disaster/emergency/crisis/conflict domain,True,True,True,correct_OUT,"The paper focuses on energy-aware requirements dependency classification using small language models, which does not align with the disaster, emergency response, mass casualty, or civilian conflict/war/humanitarian crisis settings required by the review. Additionally, it does not involve the use of small or edge language models for offline emergency guidance in disaster and conflict settings, failing Axis A."
S0688,Adaptive Edge Orchestrator: A Context-Aware Middleware for Resource-Efficient Mobile LLM Inference,OA_q16,strict,no,no,no,E7 no disaster/emergency/crisis/conflict domain,True,True,True,correct_OUT,"The paper focuses on resource management for LLM inference on mobile devices, but does not specify a disaster, emergency response, mass casualty, or civilian conflict setting. It discusses applications like wilderness survival assistance, which could be related to a disaster setting, but the context is not explicitly stated as such."
S0700,Disaster Storylines and Knowledge Graphs from Global News with Large Language Models and Retrieval-Augmented Generation,OA_q28|OA_q29|SCOPUS_S2,strict,no,no,no,E7 no disaster/emergency/crisis/conflict domain,True,True,True,correct_OUT,"The paper does not focus on the use of small or edge language models for offline emergency guidance in disaster or conflict settings. Instead, it describes a dataset and methodology for generating knowledge graphs from news articles about disasters. While it involves large language models and disaster events, it does not meet the criteria for small/edge models or offline emergency guidance."
S1000,Seeing through the Conflict: Transparent Knowledge Conflict Handling in Retrieval-Augmented Generation,OA_q30|SCOPUS_S2,strict,no,yes,no,E7 no disaster/emergency/crisis/conflict domain,True,True,True,correct_OUT,"The paper focuses on improving the performance of large language models in terms of conflict resolution and knowledge handling, but it does not specify a disaster, emergency response, mass casualty, or civilian conflict setting. It is primarily concerned with the architecture and performance of LLMs in general, which does not meet the critical mandatory rule for the review."
S2426,Distillation-Based Knowledge Editing of LLMs for Social Media Text Classification in Disaster Monitoring: A Design Science Approach,OA_q45,strict,no,no,no,E7 no disaster/emergency/crisis/conflict domain,True,True,True,correct_OUT,"The paper focuses on social media text classification for disaster monitoring using a large language model, but it does not specify a disaster, emergency response, mass casualty, or civilian conflict setting. It also does not discuss small or edge language models, but rather a large model. Therefore, it fails both Axis A and Axis C."
S2938,MindGuard: Towards Accessible and Sitgma-free Mental Health First Aid via Edge LLM,AX_q1,strict,no,no,no,E4 large-model-only (no smaller variant deployed/compared),True,True,True,correct_OUT,"The paper does not focus on a disaster, emergency response, mass casualty, or civilian conflict/war/humanitarian crisis setting. It discusses mental health first aid, which does not meet the critical mandatory rule for the review."
S2942,Hardware Co-Design Scaling Laws via Roofline Modelling for On-Device LLMs,AX_q1,strict,no,no,no,E4 large-model-only (no smaller variant deployed/compared),True,True,True,correct_OUT,"The paper focuses on hardware-software co-design for on-device LLMs, which does not align with the disaster, conflict, or emergency response settings required by the review. Additionally, it does not involve a small or edge language model, but rather large models. The content is also not related to disaster response or emergency guidance."
S2944,HSMLog: Small Language Model-Assisted Hardware Security Module Log Anomaly Detection with Behavioral Analysis,AX_q1,strict,no,no,no,E7 no disaster/emergency/crisis/conflict domain,True,True,True,correct_OUT,"The paper focuses on hardware security and does not address a disaster, emergency response, mass casualty, or civilian conflict setting. It also does not involve a small or edge language model for offline emergency guidance."
S2956,Towards Reasoning Ability of Small Language Models,AX_q1|AX_q5,strict,no,no,no,E7 no disaster/emergency/crisis/conflict domain,True,True,True,correct_OUT,"The paper does not focus on a disaster, emergency response, mass casualty, or civilian conflict/war/humanitarian crisis setting. It is a study on the reasoning abilities of small language models in general, without a specific application to a crisis or disaster scenario."
S2964,Could Small Language Models Serve as Recommenders? Towards Data-centric Cold-start Recommendations,AX_q1|AX_q5,strict,no,no,no,E7 no disaster/emergency/crisis/conflict domain,True,True,True,correct_OUT,"The paper focuses on recommendation systems and does not address any disaster, emergency response, mass casualty, or civilian conflict/war/humanitarian crisis setting. It also does not involve small or edge language models for offline emergency guidance."
S2979,Nemotron-Flash: Towards Latency-Optimal Hybrid Small Language Models,AX_q1,strict,no,no,no,E7 no disaster/emergency/crisis/conflict domain,True,True,True,correct_OUT,"The paper focuses on the design and optimization of small language models for real-world applications with latency constraints, but it does not specify a disaster, emergency response, mass casualty, or civilian conflict setting. It is primarily about model architecture and performance optimization, which does not meet the Axis C requirement."
S2988,PRISM: Privacy-Aware Routing for Adaptive Cloud-Edge LLM Inference via Semantic Sketch Collaboration,AX_q1|AX_q5,strict,no,no,no,E7 no disaster/emergency/crisis/conflict domain,True,True,True,correct_OUT,"The paper focuses on cloud-edge inference for LLMs, which does not directly address a disaster, emergency response, mass casualty, or civilian conflict/war/humanitarian crisis setting. It also does not involve a small or edge language model in such a setting, making it off-topic for the review."
S2996,QMC: Efficient SLM Edge Inference via Outlier-Aware Quantization and Emergent Memories Co-Design,AX_q1,strict,no,no,no,E7 no disaster/emergency/crisis/conflict domain,True,True,True,correct_OUT,"The paper focuses on the technical aspects of quantization and memory co-design for small language models, but does not provide any context related to disaster, emergency response, mass casualty, or civilian conflict settings. It is primarily concerned with improving the efficiency of SLMs for edge devices, which does not align with the inclusion criteria for the review."
S3006,CoGenesis: A Framework Collaborating Large and Small Language Models for Secure Context-Aware Instruction Following,AX_q1,strict,no,no,no,E7 no disaster/emergency/crisis/conflict domain,True,True,True,correct_OUT,"The paper focuses on the collaboration between large and small language models for privacy concerns and does not address a disaster, emergency response, mass casualty, or civilian conflict setting. It also does not involve a small or edge language model in a relevant domain."
S3032,Quality-of-Service Aware LLM Routing for Edge Computing with Multiple Experts,AX_q1|AX_q3,strict,no,no,no,E4 large-model-only (no smaller variant deployed/compared),True,True,True,correct_OUT,"The paper focuses on routing LLM services in edge computing, which does not align with the disaster, emergency response, or conflict settings required by the review. It also does not involve any small or edge language models for offline emergency guidance."
S3039,Communication-Efficient Hybrid Language Model via Uncertainty-Aware Opportunistic and Compressed Transmission,AX_q1|AX_q5,strict,no,no,no,E7 no disaster/emergency/crisis/conflict domain,True,True,True,correct_OUT,"auto_correction: hallucinated by auditor, missing disaster domain"
S6899,Beyond Reward Engineering: A Data Recipe for Long-Context Reinforcement Learning,AX_q3,AX_q3_100,no,no,no,E7 no disaster/emergency/crisis/conflict domain,False,True,False,correct_OUT,"The paper focuses on reinforcement learning and data-centric approaches for improving long-context reasoning in large language models, but it does not specify a disaster, emergency response, mass casualty, or civilian conflict setting. It is also not related to small or edge language models for offline emergency guidance."
S6245,Accelerate Multi-Agent Reinforcement Learning in Zero-Sum Games with Subgame Curriculum Learning,AX_q3,AX_q3_100,no,no,no,"E6 wargame/military-tactical central, no humanitarian component",False,False,False,correct_OUT,"The paper focuses on multi-agent reinforcement learning in zero-sum games, which does not align with the disaster, conflict, or emergency response settings required by the review. It also does not involve any language models or offline emergency guidance."
S4571,Network Creation with Homophilic Agents,AX_q3,AX_q3_100,no,no,no,E7 no disaster/emergency/crisis/conflict domain,False,False,False,correct_OUT,"The paper focuses on network creation games with homophilic agents and does not address any disaster, emergency response, mass casualty, or civil conflict settings. It is also not related to any language models or offline emergency guidance."
S5156,MAS-Bench: A Unified Benchmark for Shortcut-Augmented Hybrid Mobile GUI Agents,AX_q3,AX_q3_100,no,no,no,E7 no disaster/emergency/crisis/conflict domain,False,False,False,correct_OUT,"The paper focuses on the evaluation of GUI-shortcut hybrid agents and does not address any disaster, emergency response, mass casualty, or civilian conflict/war/humanitarian crisis setting. It is also not related to small or edge language models for offline emergency guidance."
S6222,Mobility and Contact Networks Shape Epidemic Outcomes: A Large-Scale Agent-Based Modeling Study,AX_q3,AX_q3_100,no,no,no,E7 no disaster/emergency/crisis/conflict domain,False,False,False,correct_OUT,"The paper focuses on agent-based modeling of human mobility and its impact on epidemic dynamics, which does not align with the specific focus on disaster, emergency response, or conflict settings. It also does not involve any language models or small/edge models, making it off-topic for the review."
S8725,Learning telic-controllable state representations,AX_q3,AX_q3_100,no,no,no,E7 no disaster/emergency/crisis/conflict domain,False,False,False,correct_OUT,"The paper does not focus on a disaster, emergency response, mass casualty, or civilian conflict/war/humanitarian crisis setting. It discusses a computational framework for state representation learning in bounded agents, which is not directly related to the application of small or edge language models in disaster or conflict settings."
S9323,Foundation Models for Scientific Discovery: From Paradigm Enhancement to Paradigm Transition,AX_q3,AX_q3_100,no,no,no,E7 no disaster/emergency/crisis/conflict domain,False,False,False,correct_OUT,"The paper focuses on the broader impact of foundation models on scientific research, including hypothesis generation, experimental design, and result interpretation. It does not specifically address small or edge language models for offline emergency guidance in disaster or conflict settings, and thus fails the Axis C requirement."
S3423,Skill-RAG: Failure-State-Aware Retrieval Augmentation via Hidden-State Probing and Skill Routing,AX_q3,AX_q3_100,no,yes,no,E7 no disaster/emergency/crisis/conflict domain,False,True,False,correct_OUT,"The paper focuses on improving retrieval mechanisms for large language models, which does not align with the requirement for a small or edge language model. Additionally, the context is general and does not specify a disaster, emergency response, mass casualty, or civilian conflict setting."
S4157,Self-Distilled Agentic Reinforcement Learning,AX_q3,AX_q3_100,no,no,no,E7 no disaster/emergency/crisis/conflict domain,True,False,False,correct_OUT,"The paper focuses on reinforcement learning and does not address a disaster, emergency response, mass casualty, or civilian conflict/war/humanitarian crisis setting. It is also not related to small or edge language models for offline emergency guidance."
S8781,Reflection in the Dark: Exposing and Escaping the Black Box in Reflective Prompt Optimization,AX_q3,AX_q3_100,no,no,no,E7 no disaster/emergency/crisis/conflict domain,False,False,False,correct_OUT,"The paper focuses on automatic prompt optimization for LLMs, which does not fit the disaster, conflict, or emergency response setting. It also does not involve small or edge language models, and the context is purely theoretical with no direct application to disaster or conflict scenarios."
S3503,REPAIR Approach for Social-based City Reconstruction Planning in case of natural disasters,AX_q3,AX_q3_100,no,no,no,E5 no language model involved,False,True,False,HUMAN_REVIEW,"The paper focuses on a decision support system for post-disaster city reconstruction, which is relevant to disaster settings. However, it does not explicitly mention the use of small or edge language models, and the primary focus is on a decision support system using deep reinforcement learning. The application is in a real use case of a natural disaster (earthquake), but the model type and its application to the specific context of small/edge language models are not clearly stated."
S5093,Consensus Formation Among Mobile Agents in Networks of Heterogeneous Interaction Venues,AX_q3,AX_q3_100,no,no,no,E7 no disaster/emergency/crisis/conflict domain,False,False,False,correct_OUT,"The paper focuses on the collective behavior of mobile agents in heterogeneous networks and does not address any disaster, emergency response, mass casualty, or civilian conflict/war/humanitarian crisis setting. It also does not involve any language models or emergency guidance. Therefore, it fails the Axis C guardrail."
