stage_id,source,search_id,title,year,q1_class,q2_arch,q3_domain,e1_nonenglish,e2_doctype,e3_fulltext,e4_largeonly,e5_no_lm,e6_wargame,e7_no_domain,provisional_class,decision_basis,evidence,screener,decision_ts,notes,dedup_status,human_should_be,human_rationale,reviewer,review_date
S12067,arxiv,AX_q5,Reinforcement Learning for Large Model: A Survey,2025,no,no,no,0.0,0.0,,0.0,0.0,0.0,1.0,OUT,E7 no disaster/emergency/crisis/conflict domain,"q1: 'We first formalize visual RL problems and trace the evolution of policy-optimization strategies from RLHF to verifiable reward paradigms, and from Proximal Policy Optimization to Group Relative Policy Optimization.'; q2: 'We then organize more than 200 representative works into four thematic pillars: multi-modal large language models, visual generation, unified model frameworks, and vision-language-action models.'; q3: 'Finally, we review evaluation protocols spanning set-level fidelity, sample-level preference, and state-level stability, and we identify open challenges that include sample efficiency, generalization, and safe deployment.'",qwen2.5:7b_temp0_schema_v1,2026-09-10T19:43:36,,canonical,correct_OUT,"The paper focuses on reinforcement learning and visual intelligence, which are not related to small or edge language models (Axis A), and does not address any disaster or conflict settings (Axis C). It is purely off-topic.",,
S2715,openalex,IEEE_supp|OA_q48,WatchOverGPT: A Framework for Real-Time Crime Detection and Response Using Wearable Camera and Large Language Model,2024,no,no,no,0.0,0.0,,1.0,0.0,0.0,1.0,OUT,E4 large-model-only (no smaller variant deployed/compared),"q4: 'The core of this framework involves a wearable camera connected to the user's smartphone, which continuously captures and analyzes the environment for signs of distress or criminal behaviors, including human actions and the presence of weapons, coupled with location and other information from the smartphone by which GPT-based application provides an autonomous decision-making process.'",qwen2.5:7b_temp0_schema_v1,2026-09-09T21:23:50,,canonical,correct_OUT,"The paper does not fit the defined criteria as it lacks the focus on disaster, emergency response, or conflict settings (Axis C). It primarily discusses crime detection and response in general public safety contexts, which is not within the specified domain.",,
S8414,arxiv,AX_q3,Promoting collective intelligence: The advantage of temporal star-structures,2024,no,no,no,0.0,0.0,,0.0,0.0,0.0,1.0,OUT,E7 no disaster/emergency/crisis/conflict domain,q1: 'System structures play an essential role in the emergence of collective intelligence in many natural and engineering systems.'; q3: 'Our findings pave the way for designing the optimal structure of temporal networks to favour collective cooperation.',qwen2.5:7b_temp0_schema_v1,2026-09-10T09:27:47,,canonical,correct_OUT,"The paper does not discuss any language models, small or otherwise, and is purely theoretical in nature, focusing on the structure of temporal networks and their impact on cooperation. It does not fit any of the axes A, B, or C.",,
S3947,arxiv,AX_q3,ConRAG: Consensus-Driven Multi-View Retrieval for Multi-Hop Question Answering,2026,no,no,no,0.0,0.0,,0.0,0.0,0.0,1.0,OUT,E7 no disaster/emergency/crisis/conflict domain,"q2: 'To this end, we propose ConRAG, a consensus-driven multi-view RAG framework that effectively boosts LLMs on complex multi-hop QA.'",qwen2.5:7b_temp0_schema_v1,2026-09-10T02:19:05,,canonical,correct_OUT,"auto_correction: hallucinated by auditor, missing disaster domain",,
S3131,arxiv,AX_q3,Practical Poisoning Attacks against Retrieval-Augmented Generation,2025,no,no,no,0.0,0.0,,0.0,0.0,0.0,1.0,OUT,E7 no disaster/emergency/crisis/conflict domain,"q1: 'Large language models (LLMs) have demonstrated impressive natural language processing abilities but face challenges such as hallucination and outdated knowledge.'; q2: 'Retrieval-Augmented Generation (RAG) has emerged as a state-of-the-art approach to mitigate these issues.'; q3: 'To address this limitation, we propose CorruptRAG, a practical poisoning attack against RAG systems in which the attacker injects only a single poisoned text, enhancing both feasibility and stealth.'",qwen2.5:7b_temp0_schema_v1,2026-09-09T22:01:54,,canonical,correct_OUT,"The paper focuses on security and robustness of retrieval-augmented generation systems, specifically large language models, and does not address the use of small or edge language models for emergency guidance in disaster or conflict settings. It is purely off-topic.",,
S5524,arxiv,AX_q3,Emergent Instabilities in Algorithmic Feedback Loops,2022,no,no,no,0.0,0.0,,0.0,0.0,0.0,1.0,OUT,E7 no disaster/emergency/crisis/conflict domain,q1: 'They appear in everything from social media to streaming videos to online shopping.'; q3: 'These results highlight the need to account for emergent behaviors from interactions between people and algorithms.',qwen2.5:7b_temp0_schema_v1,2026-09-10T04:31:47,,canonical,correct_OUT,"The paper does not address any of the axes A, B, or C. It focuses on algorithmic confounding in recommendation systems, which is not related to small or edge language models, nor does it discuss any specific architecture or domain related to disaster, emergency response, or conflict settings.",,
S8651,arxiv,AX_q3,Resource Allocation for Twin Maintenance and Computing Task Processing in Digital Twin Vehicular Edge Computing Network,2024,no,no,no,0.0,0.0,,0.0,0.0,0.0,1.0,OUT,E7 no disaster/emergency/crisis/conflict domain,q1: '...'; q3: '...';,qwen2.5:7b_temp0_schema_v1,2026-09-10T12:42:58,,canonical,correct_OUT,"The paper focuses on resource allocation for digital twin vehicular edge computing networks, which is not related to the domain of disaster, emergency response, mass casualty, or civilian conflict/war humanitarian settings (Axis C). It also does not discuss any language models (Axis A) or architectures (Axis B) relevant to the review topic.",,
S10350,arxiv,AX_q5,TernaryLLM: Ternarized Large Language Model,2024,no,no,no,0.0,0.0,,1.0,0.0,0.0,1.0,OUT,E4 large-model-only (no smaller variant deployed/compared),"q1: 'Ternarization, an extreme form of quantization, offers a solution by reducing memory usage and enabling energy-efficient floating-point additions.' q3: 'Specifically, for one of the most powerful open-source models, LLaMA-3, our approach (W1.58A16) outperforms the previous state-of-the-art method (W2A16) by 5.8 in terms of perplexity on C4 and by 8.2% in terms of average accuracy on zero-shot tasks.'",qwen2.5:7b_temp0_schema_v1,2026-09-10T15:13:23,,canonical,correct_OUT,"The paper discusses ternarization techniques for large language models, focusing on computational efficiency and performance. However, it does not address small, edge, or quantized models (Axis A), nor does it discuss any specific application in disaster, emergency response, or conflict settings (Axis C). The content is purely technical and does not align with the review's scope.",,
S11523,arxiv,AX_q5,Towards Revealing the Effectiveness of Small-Scale Fine-tuning in R1-style Reinforcement Learning,2025,no,no,no,0.0,0.0,,0.0,0.0,0.0,1.0,OUT,E7 no disaster/emergency/crisis/conflict domain,q1: '...'; q3: '...';,qwen2.5:7b_temp0_schema_v1,2026-09-10T18:49:17,,canonical,correct_OUT,"The paper focuses on reinforcement learning and fine-tuning techniques, which are not related to the domain of disaster, emergency response, or conflict settings (Axis C). It also does not discuss the use of small or edge language models (Axis A) in these contexts. Therefore, it is correctly excluded.",,
S5313,arxiv,AX_q3,Can We Trust AI Agents? A Case Study of an LLM-Based Multi-Agent System for Ethical AI,2024,no,no,no,0.0,0.0,,0.0,0.0,0.0,1.0,OUT,E7 no disaster/emergency/crisis/conflict domain,"q1: 'We adopt a single exploratory cycle of Design Science Research (DSR).'; q3: 'First, we identify trustworthiness-enhancing techniques for LLMs: multi-agents, distinct roles, structured communication, and multiple rounds of debate.'",qwen2.5:7b_temp0_schema_v1,2026-09-10T04:13:51,,canonical,correct_OUT,"The paper does not focus on small or edge language models, nor does it discuss models in the context of disaster, emergency response, or conflict settings. It primarily deals with ethical considerations and design of multi-agent systems for AI, which is not aligned with the specified axes.",,
S11403,arxiv,AX_q5,TeLLMe: An Energy-Efficient Ternary LLM Accelerator for Prefilling and Decoding on Edge FPGAs,2025,no,no,no,0.0,0.0,,0.0,0.0,0.0,1.0,OUT,E7 no disaster/emergency/crisis/conflict domain,"q1: 'Although recent low-bit quantization methods (e.g., BitNet, DeepSeek) compress weights to as little as 1.58 bits with minimal accuracy loss, edge deployment is still constrained by limited on-chip resources, power budgets, and the often-neglected latency of the prefill phase.'",qwen2.5:7b_temp0_schema_v1,2026-09-10T18:37:25,,canonical,correct_OUT,"The paper focuses on an accelerator for deploying large language models on edge devices, but does not discuss any specific model or architecture related to small or edge language models, nor does it address the domain of disaster or emergency response. It is purely technical and off-topic for the systematic review.",,
S11471,arxiv,AX_q5,Vision-Language Models for Edge Networks: A Comprehensive Survey,2025,no,no,no,0.0,0.0,,0.0,0.0,0.0,1.0,OUT,E7 no disaster/emergency/crisis/conflict domain,"q1: 'While VLMs show impressive capabilities across domains such as autonomous vehicles, smart surveillance, and healthcare, their deployment on resource-constrained edge devices remains challenging due to processing power, memory, and energy limitations.'",qwen2.5:7b_temp0_schema_v1,2026-09-10T18:44:02,,canonical,correct_OUT,"The paper focuses on Vision Large Language Models (VLMs) and their optimization for edge devices, which does not align with the specific focus on Small and Edge Language Models for offline emergency guidance in disaster and conflict settings. The domain (Axis C) and model type (Axis A) do not match the review's criteria.",,
S11908,arxiv,AX_q5,Fine-Tuning Causal LLMs for Text Classification: Embedding-Based vs. Instruction-Based Approaches,2025,no,no,no,0.0,0.0,,1.0,0.0,0.0,1.0,OUT,E4 large-model-only (no smaller variant deployed/compared),q4: 'We explore efficient strategies to fine-tune decoder-only Large Language Models (LLMs) for downstream text classification under resource constraints.',qwen2.5:7b_temp0_schema_v1,2026-09-10T19:28:05,,canonical,correct_OUT,"The paper focuses on fine-tuning large language models for text classification, which does not align with the criteria of Axis A (Small, edge, quantized, distilled, on-device LLM) or Axis C (Disaster, emergency response, mass casualty, civilian conflict/war humanitarian settings). It is purely off-topic and does not discuss any small or edge language models for emergency guidance in disaster or conflict settings.",,
S7964,arxiv,AX_q3,Twelve Scientific Challenges for 6G: Rethinking the Foundations of Communications Theory,2022,no,no,no,0.0,0.0,,0.0,0.0,0.0,1.0,OUT,E7 no disaster/emergency/crisis/conflict domain,"no language model or application in disaster, emergency, or conflict settings.",qwen2.5:7b_temp0_schema_v1,2026-09-10T08:47:03,,canonical,correct_OUT,"The paper focuses on the theoretical foundations of 6G communications and does not discuss any language models, edge computing, or applications in disaster or conflict settings. It is purely off-topic.",,
S1513,openalex,OA_q33,Editorial: Towards HRI of everyday life,2025,no,no,no,0.0,0.0,,0.0,0.0,0.0,1.0,OUT,E7 no disaster/emergency/crisis/conflict domain,"q1: 'While the main audience of this Research Topic is the HRI community, we have welcomed contributions from any disciplinary, interdisciplinary, theoretical, or methodological perspective that would address the subject of 'everyday life' in HRI research.'; q3: 'This is in a situation where placing social robots in everyday settings has often been an explicit goal for robot development but the very notion of 'everyday life' has not been systematically analysed.'",qwen2.5:7b_temp0_schema_v1,2026-09-09T19:39:57,abstract truncated to 2500 chars,canonical,correct_OUT,"The paper focuses on Human-Robot Interaction (HRI) and social robots in everyday life, which is not directly related to the use of small and edge language models for emergency guidance in disaster and conflict settings. It does not meet any of the criteria (Axis A, B, or C) specified for the systematic review.",,
S8886,arxiv,AX_q3,Electromagnetic potentials in curved spacetimes,2021,no,no,no,0.0,0.0,,0.0,1.0,0.0,1.0,OUT,E5 no language model involved,"e5_no_lm: 'Our results reveal a qualitative difference in the evolution of the potential between the closed and the open Friedmann models, solely triggered by the different spatial geometry of these spacetimes.'",qwen2.5:7b_temp0_schema_v1,2026-09-10T13:03:31,,canonical,correct_OUT,"The paper is purely off-topic, focusing on electromagnetic potentials in curved spacetimes, which does not relate to small or edge language models, disaster or conflict settings, or any form of emergency guidance.",,
S5997,arxiv,AX_q3,Exploration of unknown indoor regions by a swarm of energy-constrained drones,2023,no,no,no,0.0,0.0,,0.0,1.0,0.0,1.0,OUT,E5 no language model involved,e5_no_lm: 'The paper does not involve any language model.',qwen2.5:7b_temp0_schema_v1,2026-09-10T05:11:24,,canonical,correct_OUT,"The paper does not involve language models, does not address the domain of disaster or conflict settings, and is purely about the exploration of indoor regions by drones. It does not fit any of the criteria specified in Axis A, B, or C.",,
S5181,arxiv,AX_q3,COVID19-CBABM: A City-Based Agent Based Disease Spread Modeling Framework,2024,no,no,no,0.0,0.0,,0.0,0.0,0.0,1.0,OUT,E7 no disaster/emergency/crisis/conflict domain,"q3: 'Therefore, it is a useful tool to assist the government and health authorities in evaluating strategic decisions and actions efficiently against this epidemic, using the unique mobility patterns of each city.'",qwen2.5:7b_temp0_schema_v1,2026-09-10T04:02:48,,canonical,correct_OUT,"The paper focuses on a city-based agent-based modeling approach for disease spread, specifically for the COVID-19 pandemic. While it involves agent-based modeling, it does not meet the criteria for Axis A (Model) as it is not a language model. Additionally, it does not fit Axis C (Domain) as it is not focused on disaster, emergency response, mass casualty, or civilian conflict/war humanitarian settings. It is purely off-topic for the systematic review.",,
