ft_A,ft_A_ev,ft_B,ft_B_ev,ft_C,ft_C_ev,model_params,params_ev,paired_comparison,paired_ev,suggested_e,stage_id,secs,html_source
yes,"The novelty of this work lies in a systematic comparison of architectures and prototype validation: a review of the literature together with experimental case studies demonstrates the feasibility of local SLM inference (Llama-3 8B, Qwen-2.5 7B) on single-board accelerators (Jetson Orin AGX) with INT4 quantization and parameter-efficient fine-tuning (LoRA/LoRI).",no,,yes,This paper investigates the use of SLMs in automated response planning and in real-time communication during disasters in a scenario where there is no extreme bandwidth and communication is scarce.,"8B, 7B","local SLM inference (Llama-3 8B, Qwen-2.5 7B) on single-board accelerators (Jetson Orin AGX) with INT4 quantization and parameter-efficient fine-tuning (LoRA/LoRI).",yes,"The novelty of this work lies in a systematic comparison of architectures and prototype validation: a review of the literature together with experimental case studies demonstrates the feasibility of local SLM inference (Llama-3 8B, Qwen-2.5 7B) on single-board accelerators (Jetson Orin AGX) with INT4 quantization and parameter-efficient fine-tuning (LoRA/LoRI).",none,S0577,23.5,0
yes,We use the resulting dataset to fine-tune a small language model for crisis-domain translation,no,,yes,Timely and reliable multilingual communication is critical during natural and human-induced disasters,unknown,,no,,none,S0581,8.2,1
yes,"To address this issue, we present a lightweight, mobile-based retrieval-augmented generation system for small language models (SLMs) that can run directly on Android devices.",yes,"To address this issue, we present a lightweight, mobile-based retrieval-augmented generation system for small language models (SLMs) that can run directly on Android devices.",yes,"In disaster scenarios or remote areas, first responders often lose network connectivity when providing first aid.",unknown,"Despite the model's small size, our RAG-based system achieves 94.5% accuracy for physical first aid and 97.0% for psychological first aid.",no,,none,S0582,14.6,1
no,,no,,yes,Submarine cable disruptions make visible what cloud-dependent AI cannot solve from within: these systems stop working precisely when disaster response and public decision-making are most critical.,1 to 7 billion,Domain-specific fine-tuning yields performance comparable to models 70 times larger on specialized tasks [30]. Small Language Models in the 1 to 7 billion parameter range appear to match 80 to 95 percent of larger model performance on domain-specific tasks while consuming roughly one percent of computational resources [4].,no,,none,S0583,13.8,0
yes,"The integration of ASIET's explicit, mathematically defined waiting periods allows the system to autonomously manage transient disconnections, whilst feedback-driven collective learning intelligently informs future task scheduling.",yes,This paper introduces a novel paradigm that integrates the Adaptive Swarm for Intermittent Edge Tasks (ASIET) - a bio-inspired swarm intelligence algorithm engineered to adapt dynamically within highly unreliable environments using ultra-lightweight artificial intelligence (AI) agent orchestrators (PicoClaw) and transported Small Language Models (SLMs).,yes,"This comprehensive study details the theoretical principles of the integrated tripartite system, outlines an empirical simulation leveraging a 1.5B parameter SLM on an ARM-architected edge gateway, and explores practical applications in remote, disaster, and mobile ad hoc environments, demonstrating a fundamentally resilient pathway for autonomous kinetic edge computing.",1.5B,outlines an empirical simulation leveraging a 1.5B parameter SLM on an ARM-architected edge gateway,no,,none,S0585,19.2,0
no,,no,,yes,"In emergency situations, every second counts. The deployment of Large Language Models (LLMs) in time-sensitive, low or zero-connectivity environments remains limited. Current models are computationally intensive and unsuitable for low-tier devices often used by first responders or civilians.",unknown,,no,,E4,S0605,10.7,0
yes,"EmoMAS leverages a Bayesian orchestrator to coordinate three specialized agents: game-theoretic, reinforcement learning, and psychological coherence models.",yes,"EmoMAS leverages a Bayesian orchestrator to coordinate three specialized agents: game-theoretic, reinforcement learning, and psychological coherence models.",yes,"We further introduce four high-stakes, edge-deployable negotiation benchmarks across debt, healthcare, emergency response, and educational domains.",unknown,,yes,"Through extensive agent-to-agent simulations across all benchmarks, both SLMs and LLMs equipped with EmoMAS consistently surpass all baseline models in negotiation performance while balancing ethical behavior.",none,S0610,14.3,1
no,,no,,yes,"Effective de-escalation is a cornerstone of modern policing, directly influencing officer safety, subject welfare, and public trust.",3B,Qwen 2.5 (3B-Instruct),yes,"Notably, our fine-tuned Qwen 2.5 (3B-Instruct) surpasses the general-purpose Gemini 2.5 Flash model when evaluated under equivalent conditions, demonstrating that domain-optimized SLMs can achieve superior performance with a fraction of the computational cost.",none,S0616,13.5,0
yes,LoRA achieves 79.62% humanitarian classification accuracy (+37.79% over zero-shot) while training only ~2% of parameters; QLoRA enables efficient deployment with 99.4% of LoRA performance at 50% memory cost,no,,yes,"This paper develops a lightweight, cost-effective framework for disaster tweet classification using parameter-efficient fine-tuning. We construct a unified experimental corpus by integrating and normalizing the HumAID dataset (76,484 tweets across 19 disaster events) into a dual-task benchmark: humanitarian information categorization and event type identification.",8B,LLama 3.1 8B,no,,none,S0692,15.7,1
yes,"Built on a Retrieval-Augmented Generation (RAG) framework, DamageScope extracts structured visual representations from satellite imagery to support interactive natural language queries for damage assessment.",yes,DamageScope extracts structured visual representations from satellite imagery to support interactive natural language queries for damage assessment.,yes,"Timely and accurate assessment of property damage is critical following natural disasters. Traditional on-site inspections are labor-intensive, costly, and often pose safety risks.",unknown,A single GPT-4o [21] inference takes≈8.4seconds.,no,,none,S0717,13.4,0
yes,"The system was built using an embedding-based RAG architecture. Knowledge entries from DRRM were sorted into structured knowledge chunks and stored in a repository, where they were transformed into embeddings and retrieved using vector-based search.",yes,"The system was built using an embedding-based RAG architecture. Knowledge entries from DRRM were sorted into structured knowledge chunks and stored in a repository, where they were transformed into embeddings and retrieved using vector-based search.",yes,"The study created and assessed a localized Cebuano-English Disaster Risk Reduction and Management chatbot using Retrieval-Augmented Generation and Large Language Models. It responded to residents' demand for clearer disaster communication, especially on typhoons, floods, evacuation instructions, emergency hotlines, go-bag preparation, and weather warnings.",unknown,,no,,none,S0722,16.7,0
yes,We utilize the light retrieval augmented generation (RAG) with LLM for natural disaster area.,yes,We utilize the light retrieval augmented generation (RAG) with LLM for natural disaster area.,yes,"Emergency decision-making in natural disaster area relies on regional-specific knowledge, thus in this paper we utilize the light retrieval augmented generation (RAG) with LLM for natural disaster area.",unknown,"However, decision-making in natural disaster area presents unique challenges that extend beyond the inherent capabilities of LLM.",no,"However, decision-making in natural disaster area presents unique challenges that extend beyond the inherent capabilities of LLM.",none,S0743,14.7,0
yes,This study proposed a Retrieval-Augmented Generation (RAG)-enhanced LLM framework for hydrogen emergency management.,yes,This study proposed a Retrieval-Augmented Generation (RAG)-enhanced LLM framework for hydrogen emergency management.,yes,"Hydrogen is a promising clean energy carrier but poses significant safety challenges due to its high flammability, rapid dispersion, and low ignition energy. Effective emergency management of hydrogen leakage and explosion incidents requires accurate, timely, and knowledge-grounded decision-making.",unknown,The model parameters are not explicitly stated.,yes,"Experimental results showed that the proposed framework achieved substantial improvements in key metrics: it outperformed GPT-5.3 by 36.9% and Qwen-3.6-plus by 78.4% in overall performance, while also achieving significant improvements in numerical accuracy and faithfulness.",none,S0765,18.0,0
yes,"The system ingests GIS layers, real-time hydrological sensor streams, meteorological forecasts, and social media posts into a Neo4j-based FKG, which is then queried by a RAG framework to ground LLM outputs in current and historically validated flood conditions.",yes,"The system ingests GIS layers, real-time hydrological sensor streams, meteorological forecasts, and social media posts into a Neo4j-based FKG, which is then queried by a RAG framework to ground LLM outputs in current and historically validated flood conditions.",yes,"This paper presents a multimodal flood decision-support system that combines Large Language Models (LLMs), a Retrieval Augmented Generation (RAG) pipeline, and a Flood Knowledge Graph (FKG) for operational flood risk communication.",unknown,"For the LLM component, GPT-4o was combined with text-embedding-3-small for vectorization, which is in line with the latest retrieval augmented generation and knowledge graph-based disaster management approaches.",yes,knowledge graph grounding reduced factual hallucinations in LLM responses by 78.6% compared to a text-only baseline.,E4,S0777,21.2,0
yes,"We simulate evacuation dynamics within disaster scenarios using an LLM-based agent framework and compare predictions against real-world mobility data, enabling a comprehensive evaluation of their capabilities and limitations.",yes,"We simulate the movement of a synthetic population using large language models which are fed with specific personas, socioeconomic characteristics, and disaster information.",yes,"To address this gap, we simulate evacuation dynamics within disaster scenarios using an LLM-based agent framework and compare predictions against real-world mobility data, enabling a comprehensive evaluation of their capabilities and limitations.",8B,the Meta-Llama-3.1-8B-Instruct model,yes,"Specifically, we fine-tune the Meta-Llama-3.1-8B-Instruct model using Low-Rank Adaptation (LoRA), where training data are constructed from synthetic agents based on Marshall Fire mobility and sociodemographic data, with evacuation labels calibrated to match Cuebiq ground truth.",none,S1209,18.4,0
yes,"LLMs, whose training encompasses broad patterns of human behavior, can additionally be prompted with domain-specific scientific literature and decision rules to simulate how people behave after disasters, enabling simulation of complex decision-making.",yes,"The aim of this paper is to replace rules with large language models (LLMs), transforming classical agents into generative agents in disaster recovery simulation.",yes,"A case study considering post-earthquake recovery of buildings and the water supply system on the Alameda Island, CA, exposed to an earthquake scenario illustrates how generative agents could be used to forecast human behavior in a disaster context.",unknown,"We additionally compare results across two model versions, GPT-4o mini and GPT-5 mini, to assess sensitivity of performance to model capability.",yes,"We additionally compare results across two model versions, GPT-4o mini and GPT-5 mini, to assess sensitivity of performance to model capability.",none,S1211,18.0,0
yes,"The core innovation lies in the LLM’s ability to perform high-level semantic reasoning, logical validation, and robust self-correction through internal feedback loops.",yes,"The system follows a modular, interconnected model in which each software agent plays a specialized role.",yes,"In post-disaster search and rescue (SAR) operations, unmanned aerial vehicles (UAVs) are essential tools, yet the large volume of raw visual data often overwhelms human operators by providing isolated, context-free information.",unknown,"The cognitive core is the LLM Gemma 3n E4b, which enhances reasoning, contextual evaluation, and decision-making.",no,,E4,S1214,14.9,0
yes,"At the core of this architecture is AISHA, an agentic superforecaster that combines retrieval-augmented generation, probabilistic reasoning, and explicit hypothesis testing to support situational awareness, short-term risk outlooks, and scenario development.",yes,"At the core of this architecture is AISHA, an agentic superforecaster that combines retrieval-augmented generation, probabilistic reasoning, and explicit hypothesis testing to support situational awareness, short-term risk outlooks, and scenario development.",yes,"This contribution presents an AI Situation Room architecture designed to address these challenges by embedding LLMs within a structured, agentic decision-support system for disaster risk and humanitarian operations.",unknown,,no,,E4,S1258,15.9,0
yes,"This paper introduces a novel agentic AI framework, implemented as an LLM-coordinated multi-agent system, that addresses these gaps.",yes,"Our system integrates specialized models—including LSTM for time-series data, DeepLabv3+ for satellite image segmentation, and DistilBERT for social media analysis—within a multi-agent architecture.",yes,"Flood forecasting is a critical challenge in disaster management, complicated by the need to process heterogeneous data from meteorological, satellite, and social media sources.",unknown,The text does not specify the size of the language model used.,no,The text does not mention a comparison against a smaller or quantized model.,E4,S1275,14.9,0
yes,Reflective LLM Agents Our approach employs LLMs as language agents interacting with internal and external environments.,no,,yes,"GANDR comprises synthetic disaster reports referencing 1,000 US and 1,000 EU cities, annotated with Discrete Global Grid System (DGGS) cells for efficient geospatial integration.",unknown,LLaMA 3.3 70b Instruct  (b) DeepSeek-R1 Distill Llama 70B,no,,E4,S1299,13.9,0
yes,"LLM interacts with the Physics_GNN to trigger real-time simulations, classify safety zones, and generate context-aware safety recommendations and emergency protocols.",yes,"This study proposes a proactive decision-making agent that integrates a physics-informed graph neural network (Physics_GNN) with a pre-tuned LLM to enable real-time, intelligent emergency response for industrial leakage and explosion scenarios.",no,"The domain is industrial leakage and explosion emergencies, not a civilian disaster/emergency/humanitarian/armed-conflict response.",unknown,The model size is not specified.,no,There is no explicit comparison against a smaller or quantized model.,E7,S1332,14.6,0
yes,A lightweight Commander agent observes traffic congestion and wildfire spread in a simulated environment and issues high-level routing decisions that mimic emergency management actions.,yes,A lightweight Commander agent observes traffic congestion and wildfire spread in a simulated environment and issues high-level routing decisions that mimic emergency management actions.,yes,We demonstrate an LLM-guided multi-agent platform for coordinating evacuations during wildfires.,unknown,,no,,none,S1348,11.9,0
yes,This research verifies the feasibility of combining LLM and multi-agent simulation in crisis communication.,yes,This paper constructs a large language model (LLM)-enhanced multi-agent simulation framework.,yes,This research provides quantitative references for enterprises and regulatory authorities to formulate scientific and effective public opinion management plans when handling sudden incidents.,unknown,The text does not specify the model parameters.,no,The text does not explicitly compare against a smaller or quantized model.,none,S1373,12.7,0
yes,"H–J, a hierarchical multi-agent framework that integrates knowledge-guided prompting, entropy-constrained generation, and feedback-driven optimization. It establishes a closed-loop pipeline spanning from multi-source perception to strategic execution and continuous refinement.",yes,"H–J, a hierarchical multi-agent framework that integrates knowledge-guided prompting, entropy-constrained generation, and feedback-driven optimization. It establishes a closed-loop pipeline spanning from multi-source perception to strategic execution and continuous refinement.",yes,"Urban flood events have surged due to intensifying climate patterns, causing significant challenges to emergency scheduling systems. Urban flooding often leads to severe traffic congestion and service disruptions, threatening public safety and mobility.","Qwen-7B-Chat (LoRA + Entropy Loss), GLM-6B (LoRA)",LLM High-level model Qwen-7B-Chat (LoRA + Entropy Loss) Regional policy model GLM-6B (LoRA),yes,"Experiments show that H–J significantly outperforms both rule-based and reinforcement learning baselines in traffic smoothness, task success rate, and system robustness.",none,S1411,20.6,0
yes,"We describe KumbhDoot, an agentic pilgrim assistant for the Nashik Simhastha Kumbh Mela built on a different first principle.",yes,Generative models are invoked only in instances where similarity-based retrieval is insufficient to produce a correct answer.,yes,"Mass religious gatherings such as the Kumbh Mela concentrate tens of millions of people into a single region over a few weeks, producing intense, repetitive, multilingual, and safety-critical demand for information.",unknown,"Non-critical requests are queued and resumed on reconnect, while emergency updates receive sync priority.",no,,none,S1425,14.7,0
no,The harder control problem is that the same message can improve local beliefs while synchronizing many agents toward a hazardous or capacity-constrained route.,no,,yes,"We present Chiyoda, an Information-Theoretic Evacuation Dynamics framework that treats emergency communication as a controllable safety action in a coupled physical-information system.",unknown,,no,,none,S1492,10.4,1
no,Our approach involves developing a prototype that utilizes our novel voice streaming protocol and assessing how different parameters affect voice transmission over the LoRa physical layer.,no,Our approach involves developing a prototype that utilizes our novel voice streaming protocol and assessing how different parameters affect voice transmission over the LoRa physical layer.,yes,VLoRa is part of the Emergency Buddy System (EBS) intended for facilitating emergency voice communication in situations where existing infrastructure has been compromised or rendered inoperative.,unknown,Our approach involves developing a prototype that utilizes our novel voice streaming protocol and assessing how different parameters affect voice transmission over the LoRa physical layer.,no,Our approach involves developing a prototype that utilizes our novel voice streaming protocol and assessing how different parameters affect voice transmission over the LoRa physical layer.,E4,S2418,16.3,0
no,,no,,yes,"Finally, we showcase a disaster rescue application where the Graph-Grounded LLM acts as a decision-support system.",unknown,,yes,"In contrast, the Graph-Grounded LLM attains nearly 100% accuracy in both.",none,S2632,10.3,0
yes,entropy-aware agentic control that dynamically selects optimal retrieval strategies based on situational context,yes,"an agentic multimodal Retrieval-Augmented Generation (RAG) framework that advances beyond conventional static knowledge bases by implementing dynamic, experience-driven decision support for disaster response",yes,Humanitarian Assistance and Disaster Relief (HADR) operations demand rapid synthesis of multimodal information for time-critical decision-making under extreme uncertainty,unknown,"The framework constructs hierarchical knowledge trees from 46 tsunami-related PDFs (2,378 pages) using BLIP-based image understanding, ColVBERT embeddings, and long-context summarization within the OODA loop (Observe, Orient, Decide, Act) tactical framework",no,,none,S3110,15.3,0
no,,no,,yes,"Natural disasters such as earthquakes, torrential rainfall, floods, and volcanic eruptions occur with extremely low frequency and affect limited geographic areas. When individuals face disaster situations, they often experience confusion and lack the domain-specific knowledge and experience necessary to determine appropriate responses and actions.",6.7M,"Utilizing the cl-tohoku/bert-base-japanese-v3 + Bi-LSTM + Enhanced Position Heads architecture with LoRA efficiency optimization, we achieved 70.4% End Position accuracy with only 5.7% of the total parameters (6.7M/117M).",no,,none,S3347,14.8,0
yes,"SafeMate dynamically routes user queries to tools for document retrieval, checklist generation, and structured summarization. It uses FAISS with cosine similarity to identify relevant content from trusted sources.",yes,"SafeMate dynamically routes user queries to tools for document retrieval, checklist generation, and structured summarization. It uses FAISS with cosine similarity to identify relevant content from trusted sources.",yes,"Built on the Model Context Protocol (MCP), SafeMate dynamically routes user queries to tools for document retrieval, checklist generation, and structured summarization. It uses FAISS with cosine similarity to identify relevant content from trusted sources. Experiments on emergency preparedness queries show that the proposed SafeMate outperforms GPT-4o and GPT-3.5 in correctness, groundedness, completeness, relevance, and fluency.",unknown,"Experiments on emergency preparedness queries show that the proposed SafeMate outperforms GPT-4o and GPT-3.5 in correctness, groundedness, completeness, relevance, and fluency.",yes,"Experiments on emergency preparedness queries show that the proposed SafeMate outperforms GPT-4o and GPT-3.5 in correctness, groundedness, completeness, relevance, and fluency.",none,S3496,22.3,0
yes,"Ratherthanfunctioningsolelyasadvisorytools,VLMsfacilitatecommunicationbetweenhumanoperators,missioncontrollogic,andUAVtaskexecution.",yes,"The proposed architecture integrates natural language interaction, mission level task coordination, software-in-the-loop implementation, and communication aligned with the Incident Command System (ICS).",yes,"Recent advances in Vision Language Models (VLMs) have created new opportunities for disaster response, where responders must interpret large volumes of sensor data under critical time pressure.",unknown,,no,,none,S3510,13.0,0
yes,OpenEarthAgent establishes a cohesive agentic architecture built around a unified executable tool registry and trajectory-based policy learning.,yes,"OpenEarthAgent correctly sequences tool calls with proper dependencies and feedback, while Qwen3 fails due to misordered tool usage and inconsistent reasoning.",yes,"The accompanying corpus comprises 14,538 training and 1,169 evaluation instances with over 107K reasoning steps, spanning urban, environmental, disaster, and infrastructure domains and incorporating GIS operations alongside index analyses such as NDVI, NBR, and NDBI.",4B,OpenEarthAgent is finetuned using Qwen3-4B-Instruct-2507 as the base model.,yes,"Fig. 1:ComparisonofOpenEarthAgent-4BandQwen3-4BonacomplexGISreasoning task. OpenEarthAgent correctly sequences tool calls with proper dependencies and feedback, while Qwen3 fails due to misordered tool usage and inconsistent reasoning.",none,S4013,19.2,0
yes,This work proposes a hierarchical multi-agent architecture for onboard EO processing under strict resource and bandwidth constraints. The system enables the exploitation of complementary multimodal observations by coordinating specialized AI agents within an event-driven decision pipeline.,yes,"An Early Warning agent generates fast hypotheses from onboard observations and selectively activates domain-specific analysis agents, while a Decision agent consolidates the evidence to issue a final alert.",yes,Rapid identification of hazardous events is essential for next-generation Earth Observation (EO) missions supporting disaster response.,2B,"It relies on an instruction-tuned Qwen2-VL [14] vision-language model (VLM) with 2 billion parameters, quantized to 4-bit precision for efficient on-board inference.",yes,"To this end, we compare a routing-based execution strategy against a static configuration that always executes all available specialist modules.",none,S4299,16.9,0
yes,CoMIX models selfish and collaborative behavior as incremental steps in each agent’s decision process. This allows agents to dynamically adapt their behavior to different situations balancing independence and collaboration.,yes,CoMIX: A Multi-agent Reinforcement Learning Training Architecture for Efficient Decentralized Coordination and Independent Decision-Making,no,,unknown,,no,,E7,S5086,11.0,0
yes,The application provides a context-aware multilingual agent that users can communicate with and is tightly connected/aligned to other features of the application.,yes,"BEACON (Broadscale Evacuation Agentic Coordination, Out-reach & Navigation), an end-to-end agentic mobile application, includes a data ingestion pipeline, danger assessment based on dynamic evaluation based on danger levels, polygon- and point-based routing, a multilingual large language model (LLM) chatbot agent, and a personalized checklist to serve each family’s unique needs.",yes,"In order to better serve marginalized communities during emergencies, the authors developed BEACON, a service that provides comprehensive and personalized evacuation guidance, including navigation routes, personalized checklists, and a chatbot in the language that a user uses.",unknown,The system’s user interface dynamically changes its language settings based on the language the user most frequently uses.,no,,none,S6072,18.0,0
no,,no,,yes,"During crises, social media serves as a crucial coordination tool, but the vast influx of posts--from 'actionable' requests and offers to generic content like emotional support, behavioural guidance, or outdated information--complicates effective classification.",unknown,"The Medium model is 47% smaller with 3.8% higher accuracy at 3.5× speed, the Small model is 68% smaller with a 1.8% accuracy gain at 7.7× speed, and the Tiny model, 83% smaller, matches BERT’s accuracy at 18.6× speed.",yes,"Our mini models surpass BERT base1, offering higher accuracy with significantly smaller sizes and faster speeds.",none,S11495,16.6,0
yes,"a context-efficient architecture that reduces token consumption through hierarchical section search, and a scenario-based dialogue generation methodology that effectively distills tool-using capabilities from larger models.",yes,"a context-efficient architecture that reduces token consumption through hierarchical section search, and a scenario-based dialogue generation methodology that effectively distills tool-using capabilities from larger models.",no,Korean chemical toxicity information agent devised within these limitations.,8B,"Experimental evaluations demonstrate that our fine-tuned 8B parameter model substantially outperforms both untuned models and baseline approaches, in terms of DB faithfulness and preference.",yes,"Experimental evaluations demonstrate that our fine-tuned 8B parameter model substantially outperforms both untuned models and baseline approaches, in terms of DB faithfulness and preference.",E7,S11694,16.8,0
