stage_id,title,provisional_class,ft_A,ft_A_ev,ft_B,ft_B_ev,ft_C,ft_C_ev,model_params,paired_comparison,paired_ev,suggested_e,A_ok,C_ok,ft_suggested,human_class,human_e4_decision,human_notes
S0577,Leveraging AI-Powered Small Language Models for Real-Time Disaster Communication and Response Optimization,INCLUDE_partial_AC,yes,"The novelty of this work lies in a systematic comparison of architectures and prototype validation: a review of the literature together with experimental case studies demonstrates the feasibility of local SLM inference (Llama-3 8B, Qwen-2.5 7B) on single-board accelerators (Jetson Orin AGX) with INT4 quantization and parameter-efficient fine-tuning (LoRA/LoRI).",no,,yes,This paper investigates the use of SLMs in automated response planning and in real-time communication during disasters in a scenario where there is no extreme bandwidth and communication is scarce.,"8B, 7B",yes,"The novelty of this work lies in a systematic comparison of architectures and prototype validation: a review of the literature together with experimental case studies demonstrates the feasibility of local SLM inference (Llama-3 8B, Qwen-2.5 7B) on single-board accelerators (Jetson Orin AGX) with INT4 quantization and parameter-efficient fine-tuning (LoRA/LoRI).",none,True,True,partial_AC,partial_AC,,
S0581,Translating Under Pressure: Domain-Aware LLMs for Crisis Communication,INCLUDE_partial_AC,yes,We use the resulting dataset to fine-tune a small language model for crisis-domain translation,no,,yes,Timely and reliable multilingual communication is critical during natural and human-induced disasters,unknown,no,,none,True,True,partial_AC,partial_AC,,
S0582,Pocket RAG: On-Device RAG for First Aid Guidance in Offline Mobile Environment,INCLUDE_full_ABC,yes,"To address this issue, we present a lightweight, mobile-based retrieval-augmented generation system for small language models (SLMs) that can run directly on Android devices.",yes,"To address this issue, we present a lightweight, mobile-based retrieval-augmented generation system for small language models (SLMs) that can run directly on Android devices.",yes,"In disaster scenarios or remote areas, first responders often lose network connectivity when providing first aid.",unknown,no,,none,True,True,full_ABC,full_ABC,,
S0583,Digital Sovereignty Beyond the Cloud: An Edge AI Framework for Small Island Developing States,INCLUDE_partial_AC,no,,no,,yes,Submarine cable disruptions make visible what cloud-dependent AI cannot solve from within: these systems stop working precisely when disaster response and public decision-making are most critical.,1 to 7 billion,no,,none,False,True,HUMAN_REVIEW_ft,OUT:E5,,"E5 stands: framework/position paper; model sizes discussed as design space, no implemented LM system"
S0585,Resilient Edge Intelligence: Integrating Swarm Logic with Lightweight Agents and Localised SLMs,INCLUDE_partial_AC,yes,"The integration of ASIET's explicit, mathematically defined waiting periods allows the system to autonomously manage transient disconnections, whilst feedback-driven collective learning intelligently informs future task scheduling.",yes,This paper introduces a novel paradigm that integrates the Adaptive Swarm for Intermittent Edge Tasks (ASIET) - a bio-inspired swarm intelligence algorithm engineered to adapt dynamically within highly unreliable environments using ultra-lightweight artificial intelligence (AI) agent orchestrators (PicoClaw) and transported Small Language Models (SLMs).,yes,"This comprehensive study details the theoretical principles of the integrated tripartite system, outlines an empirical simulation leveraging a 1.5B parameter SLM on an ARM-architected edge gateway, and explores practical applications in remote, disaster, and mobile ad hoc environments, demonstrating a fundamentally resilient pathway for autonomous kinetic edge computing.",1.5B,no,,none,True,True,full_ABC,full_ABC,,
S0605,FirstAidQA: A Synthetic Dataset for First Aid and Emergency Response in Low-Connectivity Settings,INCLUDE_partial_AC,no,,no,,yes,"In emergency situations, every second counts. The deployment of Large Language Models (LLMs) in time-sensitive, low or zero-connectivity environments remains limited. Current models are computationally intensive and unsuitable for low-tier devices often used by first responders or civilians.",unknown,no,,E4,False,True,HUMAN_REVIEW_ft,OUT:E5,,
S0610,EmoMAS: Emotion-Aware Multi-Agent System for High-Stakes Edge-Deployable Negotiation with Bayesian Orchestration,INCLUDE_full_ABC,yes,"EmoMAS leverages a Bayesian orchestrator to coordinate three specialized agents: game-theoretic, reinforcement learning, and psychological coherence models.",yes,"EmoMAS leverages a Bayesian orchestrator to coordinate three specialized agents: game-theoretic, reinforcement learning, and psychological coherence models.",yes,"We further introduce four high-stakes, edge-deployable negotiation benchmarks across debt, healthcare, emergency response, and educational domains.",unknown,yes,"Through extensive agent-to-agent simulations across all benchmarks, both SLMs and LLMs equipped with EmoMAS consistently surpass all baseline models in negotiation performance while balancing ethical behavior.",none,True,True,full_ABC,full_ABC,,
S0616,DeEscalWild: A Real-World Benchmark for Automated De-Escalation Training with SLMs,INCLUDE_partial_AC,no,,no,,yes,"Effective de-escalation is a cornerstone of modern policing, directly influencing officer safety, subject welfare, and public trust.",3B,yes,"Notably, our fine-tuned Qwen 2.5 (3B-Instruct) surpasses the general-purpose Gemini 2.5 Flash model when evaluated under equivalent conditions, demonstrating that domain-optimized SLMs can achieve superior performance with a fraction of the computational cost.",none,False,True,HUMAN_REVIEW_ft,OUT:E5,,
S0692,A Lightweight LLM Framework for Disaster Humanitarian Information Classification,INCLUDE_partial_AC,yes,LoRA achieves 79.62% humanitarian classification accuracy (+37.79% over zero-shot) while training only ~2% of parameters; QLoRA enables efficient deployment with 99.4% of LoRA performance at 50% memory cost,no,,yes,"This paper develops a lightweight, cost-effective framework for disaster tweet classification using parameter-efficient fine-tuning. We construct a unified experimental corpus by integrating and normalizing the HumAID dataset (76,484 tweets across 19 disaster events) into a dual-task benchmark: humanitarian information categorization and event type identification.",8B,no,,none,False,True,HUMAN_REVIEW_ft,full_ABC,,"audit: K1 quote failed squash-match; evidence verified in PDF (8B, LoRA ~2% params, QLoRA) - genuine small model"
S0717,DamageScope: Vision-Language Retrieval at Scale for Disaster Damage Assessment from Satellite Imagery,INCLUDE_partial_AC,yes,"Built on a Retrieval-Augmented Generation (RAG) framework, DamageScope extracts structured visual representations from satellite imagery to support interactive natural language queries for damage assessment.",yes,DamageScope extracts structured visual representations from satellite imagery to support interactive natural language queries for damage assessment.,yes,"Timely and accurate assessment of property damage is critical following natural disasters. Traditional on-site inspections are labor-intensive, costly, and often pose safety risks.",unknown,no,,none,True,True,full_ABC,full_ABC,,
S0722,Localized Cebuano-English DRRM Chatbot via Retrieval-Augmented Generation and Large Language Models,INCLUDE_partial_BC_PENDING,yes,"The system was built using an embedding-based RAG architecture. Knowledge entries from DRRM were sorted into structured knowledge chunks and stored in a repository, where they were transformed into embeddings and retrieved using vector-based search.",yes,"The system was built using an embedding-based RAG architecture. Knowledge entries from DRRM were sorted into structured knowledge chunks and stored in a repository, where they were transformed into embeddings and retrieved using vector-based search.",yes,"The study created and assessed a localized Cebuano-English Disaster Risk Reduction and Management chatbot using Retrieval-Augmented Generation and Large Language Models. It responded to residents' demand for clearer disaster communication, especially on typhoons, floods, evacuation instructions, emergency hotlines, go-bag preparation, and weather warnings.",unknown,no,,none,True,True,full_ABC,full_ABC,,
S0743,Optimizing Emergency Decision-Making for Natural Disaster Using Light Retrieval Augmented Generation,INCLUDE_partial_AC,yes,We utilize the light retrieval augmented generation (RAG) with LLM for natural disaster area.,yes,We utilize the light retrieval augmented generation (RAG) with LLM for natural disaster area.,yes,"Emergency decision-making in natural disaster area relies on regional-specific knowledge, thus in this paper we utilize the light retrieval augmented generation (RAG) with LLM for natural disaster area.",unknown,no,"However, decision-making in natural disaster area presents unique challenges that extend beyond the inherent capabilities of LLM.",none,True,True,full_ABC,full_ABC,,
S0765,A Retrieval-Augmented Generation (RAG) framework for emergency management of hydrogen leakage and explosions,INCLUDE_partial_BC_PENDING,yes,This study proposed a Retrieval-Augmented Generation (RAG)-enhanced LLM framework for hydrogen emergency management.,yes,This study proposed a Retrieval-Augmented Generation (RAG)-enhanced LLM framework for hydrogen emergency management.,yes,"Hydrogen is a promising clean energy carrier but poses significant safety challenges due to its high flammability, rapid dispersion, and low ignition energy. Effective emergency management of hydrogen leakage and explosion incidents requires accurate, timely, and knowledge-grounded decision-making.",unknown,yes,"Experimental results showed that the proposed framework achieved substantial improvements in key metrics: it outperformed GPT-5.3 by 36.9% and Qwen-3.6-plus by 78.4% in overall performance, while also achieving significant improvements in numerical accuracy and faithfulness.",none,True,True,full_ABC,full_ABC,,
S0777,Improved Flood Management and Risk Communication Through LLM,INCLUDE_partial_BC_PENDING,yes,"The system ingests GIS layers, real-time hydrological sensor streams, meteorological forecasts, and social media posts into a Neo4j-based FKG, which is then queried by a RAG framework to ground LLM outputs in current and historically validated flood conditions.",yes,"The system ingests GIS layers, real-time hydrological sensor streams, meteorological forecasts, and social media posts into a Neo4j-based FKG, which is then queried by a RAG framework to ground LLM outputs in current and historically validated flood conditions.",yes,"This paper presents a multimodal flood decision-support system that combines Large Language Models (LLMs), a Retrieval Augmented Generation (RAG) pipeline, and a Flood Knowledge Graph (FKG) for operational flood risk communication.",unknown,yes,knowledge graph grounding reduced factual hallucinations in LLM responses by 78.6% compared to a text-only baseline.,E4,True,True,full_ABC,OUT:E4,,"E4 fail: 78.6% comparison is vs text-only baseline (generic), not a smaller model"
S1209,Evaluating the Predictability of Disaster Evacuation Behavior using LLM Agent Simulations,INCLUDE_partial_AC,yes,"We simulate evacuation dynamics within disaster scenarios using an LLM-based agent framework and compare predictions against real-world mobility data, enabling a comprehensive evaluation of their capabilities and limitations.",yes,"We simulate the movement of a synthetic population using large language models which are fed with specific personas, socioeconomic characteristics, and disaster information.",yes,"To address this gap, we simulate evacuation dynamics within disaster scenarios using an LLM-based agent framework and compare predictions against real-world mobility data, enabling a comprehensive evaluation of their capabilities and limitations.",8B,yes,"Specifically, we fine-tune the Meta-Llama-3.1-8B-Instruct model using Low-Rank Adaptation (LoRA), where training data are constructed from synthetic agents based on Marshall Fire mobility and sociodemographic data, with evacuation labels calibrated to match Cuebiq ground truth.",none,True,True,full_ABC,full_ABC,,
S1211,Socio-technical regional disaster recovery modeling using generative LLM-based agents,INCLUDE_full_ABC,yes,"LLMs, whose training encompasses broad patterns of human behavior, can additionally be prompted with domain-specific scientific literature and decision rules to simulate how people behave after disasters, enabling simulation of complex decision-making.",yes,"The aim of this paper is to replace rules with large language models (LLMs), transforming classical agents into generative agents in disaster recovery simulation.",yes,"A case study considering post-earthquake recovery of buildings and the water supply system on the Alameda Island, CA, exposed to an earthquake scenario illustrates how generative agents could be used to forecast human behavior in a disaster context.",unknown,yes,"We additionally compare results across two model versions, GPT-4o mini and GPT-5 mini, to assess sensitivity of performance to model capability.",none,True,False,HUMAN_REVIEW_ft,OUT:E4,,"E4 fail confirmed: paired comparison is GPT-4o mini vs GPT-5 mini (large-vs-large), not smaller/local"
S1214,AI-Enhanced Rescue Drone with Multi-Modal Vision and Cognitive Agentic Architecture,INCLUDE_full_ABC,yes,"The core innovation lies in the LLM’s ability to perform high-level semantic reasoning, logical validation, and robust self-correction through internal feedback loops.",yes,"The system follows a modular, interconnected model in which each software agent plays a specialized role.",yes,"In post-disaster search and rescue (SAR) operations, unmanned aerial vehicles (UAVs) are essential tools, yet the large volume of raw visual data often overwhelms human operators by providing isolated, context-free information.",unknown,no,,E4,True,True,full_ABC,full_ABC,,
S1258,From Data to Decisions: An AI Situation Room for Crisis and Disaster Management,INCLUDE_partial_BC_PENDING,yes,"At the core of this architecture is AISHA, an agentic superforecaster that combines retrieval-augmented generation, probabilistic reasoning, and explicit hypothesis testing to support situational awareness, short-term risk outlooks, and scenario development.",yes,"At the core of this architecture is AISHA, an agentic superforecaster that combines retrieval-augmented generation, probabilistic reasoning, and explicit hypothesis testing to support situational awareness, short-term risk outlooks, and scenario development.",yes,"This contribution presents an AI Situation Room architecture designed to address these challenges by embedding LLMs within a structured, agentic decision-support system for disaster risk and humanitarian operations.",unknown,no,,E4,True,True,full_ABC,OUT:E4,,
S1275,An Agentic AI Framework for Dynamic Data Fusion in Flood Forecasting,INCLUDE_full_ABC,yes,"This paper introduces a novel agentic AI framework, implemented as an LLM-coordinated multi-agent system, that addresses these gaps.",yes,"Our system integrates specialized models—including LSTM for time-series data, DeepLabv3+ for satellite image segmentation, and DistilBERT for social media analysis—within a multi-agent architecture.",yes,"Flood forecasting is a critical challenge in disaster management, complicated by the need to process heterogeneous data from meteorological, satellite, and social media sources.",unknown,no,The text does not mention a comparison against a smaller or quantized model.,E4,True,True,full_ABC,OUT:E4,,
S1299,"GANDR - Georelating Dataset, Metrics, and Evaluation",INCLUDE_partial_BC_PENDING,yes,Reflective LLM Agents Our approach employs LLMs as language agents interacting with internal and external environments.,no,,yes,"GANDR comprises synthetic disaster reports referencing 1,000 US and 1,000 EU cities, annotated with Discrete Global Grid System (DGGS) cells for efficient geospatial integration.",unknown,no,,E4,True,True,partial_AC,OUT:E4,,
S1332,Proactive decision-making agent for industrial leakage and explosion emergencies powered by Physics_GNN and LLM,INCLUDE_partial_BC_PENDING,yes,"LLM interacts with the Physics_GNN to trigger real-time simulations, classify safety zones, and generate context-aware safety recommendations and emergency protocols.",yes,"This study proposes a proactive decision-making agent that integrates a physics-informed graph neural network (Physics_GNN) with a pre-tuned LLM to enable real-time, intelligent emergency response for industrial leakage and explosion scenarios.",no,"The domain is industrial leakage and explosion emergencies, not a civilian disaster/emergency/humanitarian/armed-conflict response.",unknown,no,There is no explicit comparison against a smaller or quantized model.,E7,True,False,HUMAN_REVIEW_ft,OUT:E7,,scope exclusion: industrial process-safety domain per locked C-axis definition
S1348,LLM-Guided Multi-Agent Evacuation Coordination via Episodic Memory and Cognitive Task Analysis,INCLUDE_partial_BC_PENDING,yes,A lightweight Commander agent observes traffic congestion and wildfire spread in a simulated environment and issues high-level routing decisions that mimic emergency management actions.,yes,A lightweight Commander agent observes traffic congestion and wildfire spread in a simulated environment and issues high-level routing decisions that mimic emergency management actions.,yes,We demonstrate an LLM-guided multi-agent platform for coordinating evacuations during wildfires.,unknown,no,,none,True,True,full_ABC,OUT:E4,,demoted at full text: no small/local model named (only lightweight-architecture language)
S1373,Guidance Strategies for Online Public Opinion in Emergencies Based on LLM- enhanced Multi-agent Simulation: A Case Study of the Pangdonglai Steamed Cold Noodle Event,INCLUDE_partial_BC_PENDING,yes,This research verifies the feasibility of combining LLM and multi-agent simulation in crisis communication.,yes,This paper constructs a large language model (LLM)-enhanced multi-agent simulation framework.,yes,This research provides quantitative references for enterprises and regulatory authorities to formulate scientific and effective public opinion management plans when handling sudden incidents.,unknown,no,The text does not explicitly compare against a smaller or quantized model.,none,True,False,HUMAN_REVIEW_ft,OUT:E7,,"scope exclusion: public-opinion steering, not response guidance"
S1411,Entropy-Constrained Strategy Optimization in Urban Floods: A Multi-Agent Framework with LLM and Knowledge Graph Integration,INCLUDE_partial_BC_PENDING,yes,"H–J, a hierarchical multi-agent framework that integrates knowledge-guided prompting, entropy-constrained generation, and feedback-driven optimization. It establishes a closed-loop pipeline spanning from multi-source perception to strategic execution and continuous refinement.",yes,"H–J, a hierarchical multi-agent framework that integrates knowledge-guided prompting, entropy-constrained generation, and feedback-driven optimization. It establishes a closed-loop pipeline spanning from multi-source perception to strategic execution and continuous refinement.",yes,"Urban flood events have surged due to intensifying climate patterns, causing significant challenges to emergency scheduling systems. Urban flooding often leads to severe traffic congestion and service disruptions, threatening public safety and mobility.","Qwen-7B-Chat (LoRA + Entropy Loss), GLM-6B (LoRA)",yes,"Experiments show that H–J significantly outperforms both rule-based and reinforcement learning baselines in traffic smoothness, task success rate, and system robustness.",none,True,False,HUMAN_REVIEW_ft,full_ABC,,"audit: verified in PDF (Qwen-7B-Chat + GLM-6B, LoRA) - genuine small models; paired=yes is vs rule/RL baselines, E4 n/a (A=yes)"
S1425,"KumbhDoot: A Scale-Ready, LLM-Bounded Architecture for Mass-Gathering Public-Service Assistants",INCLUDE_full_ABC,yes,"We describe KumbhDoot, an agentic pilgrim assistant for the Nashik Simhastha Kumbh Mela built on a different first principle.",yes,Generative models are invoked only in instances where similarity-based retrieval is insufficient to produce a correct answer.,yes,"Mass religious gatherings such as the Kumbh Mela concentrate tens of millions of people into a single region over a few weeks, producing intense, repetitive, multilingual, and safety-critical demand for information.",unknown,no,,none,True,True,full_ABC,full_ABC,,
S1492,Chiyoda: Entropy-Guided Information Control for Hazard-Coupled Pedestrian Evacuation,INCLUDE_partial_AC,no,The harder control problem is that the same message can improve local beliefs while synchronizing many agents toward a hazardous or capacity-constrained route.,no,,yes,"We present Chiyoda, an Information-Theoretic Evacuation Dynamics framework that treats emergency communication as a controllable safety action in a coupled physical-information system.",unknown,no,,none,True,True,HUMAN_REVIEW_ft,OUT:E5,,
S2418,VOICE OVER LORA,INCLUDE_full_ABC,no,Our approach involves developing a prototype that utilizes our novel voice streaming protocol and assessing how different parameters affect voice transmission over the LoRa physical layer.,no,Our approach involves developing a prototype that utilizes our novel voice streaming protocol and assessing how different parameters affect voice transmission over the LoRa physical layer.,yes,VLoRa is part of the Emergency Buddy System (EBS) intended for facilitating emergency voice communication in situations where existing infrastructure has been compromised or rendered inoperative.,unknown,no,Our approach involves developing a prototype that utilizes our novel voice streaming protocol and assessing how different parameters affect voice transmission over the LoRa physical layer.,E4,True,True,HUMAN_REVIEW_ft,full_ABC,,
S2632,Graph-Grounded LLMs: Leveraging Graphical Function Calling to Minimize LLM Hallucinations,INCLUDE_partial_AC,no,,no,,yes,"Finally, we showcase a disaster rescue application where the Graph-Grounded LLM acts as a decision-support system.",unknown,yes,"In contrast, the Graph-Grounded LLM attains nearly 100% accuracy in both.",none,False,True,HUMAN_REVIEW_ft,OUT:E4,,"recode E5->E4: LLM used (graph function calling); paired=yes was generic baseline (graph vs plain LLM), not smaller-model comparison"
S3110,RAPTOR-AI for Disaster OODA Loop: Hierarchical Multimodal RAG with Experience-Driven Agentic Decision-Making,INCLUDE_full_ABC,yes,entropy-aware agentic control that dynamically selects optimal retrieval strategies based on situational context,yes,"an agentic multimodal Retrieval-Augmented Generation (RAG) framework that advances beyond conventional static knowledge bases by implementing dynamic, experience-driven decision support for disaster response",yes,Humanitarian Assistance and Disaster Relief (HADR) operations demand rapid synthesis of multimodal information for time-critical decision-making under extreme uncertainty,unknown,no,,none,True,True,full_ABC,full_ABC,,
S3347,Disaster Question Answering with LoRA Efficiency and Accurate End Position,INCLUDE_partial_AC,no,,no,,yes,"Natural disasters such as earthquakes, torrential rainfall, floods, and volcanic eruptions occur with extremely low frequency and affect limited geographic areas. When individuals face disaster situations, they often experience confusion and lack the domain-specific knowledge and experience necessary to determine appropriate responses and actions.",6.7M,no,,none,False,True,HUMAN_REVIEW_ft,OUT:E5,,
S3496,SafeMate: A Modular RAG-Based Agent for Context-Aware Emergency Guidance,INCLUDE_full_ABC,yes,"SafeMate dynamically routes user queries to tools for document retrieval, checklist generation, and structured summarization. It uses FAISS with cosine similarity to identify relevant content from trusted sources.",yes,"SafeMate dynamically routes user queries to tools for document retrieval, checklist generation, and structured summarization. It uses FAISS with cosine similarity to identify relevant content from trusted sources.",yes,"Built on the Model Context Protocol (MCP), SafeMate dynamically routes user queries to tools for document retrieval, checklist generation, and structured summarization. It uses FAISS with cosine similarity to identify relevant content from trusted sources. Experiments on emergency preparedness queries show that the proposed SafeMate outperforms GPT-4o and GPT-3.5 in correctness, groundedness, completeness, relevance, and fluency.",unknown,yes,"Experiments on emergency preparedness queries show that the proposed SafeMate outperforms GPT-4o and GPT-3.5 in correctness, groundedness, completeness, relevance, and fluency.",none,True,True,full_ABC,full_ABC,,
S3510,A Systems Engineering Framework for Vision-Language-Enabled UAV Triage and Disaster Response,INCLUDE_partial_BC_PENDING,yes,"Ratherthanfunctioningsolelyasadvisorytools,VLMsfacilitatecommunicationbetweenhumanoperators,missioncontrollogic,andUAVtaskexecution.",yes,"The proposed architecture integrates natural language interaction, mission level task coordination, software-in-the-loop implementation, and communication aligned with the Incident Command System (ICS).",yes,"Recent advances in Vision Language Models (VLMs) have created new opportunities for disaster response, where responders must interpret large volumes of sensor data under critical time pressure.",unknown,no,,none,True,True,full_ABC,full_ABC,,
S4013,OpenEarthAgent: A Unified Framework for Tool-Augmented Geospatial Agents,INCLUDE_partial_BC_PENDING,yes,OpenEarthAgent establishes a cohesive agentic architecture built around a unified executable tool registry and trajectory-based policy learning.,yes,"OpenEarthAgent correctly sequences tool calls with proper dependencies and feedback, while Qwen3 fails due to misordered tool usage and inconsistent reasoning.",yes,"The accompanying corpus comprises 14,538 training and 1,169 evaluation instances with over 107K reasoning steps, spanning urban, environmental, disaster, and infrastructure domains and incorporating GIS operations alongside index analyses such as NDVI, NBR, and NDBI.",4B,yes,"Fig. 1:ComparisonofOpenEarthAgent-4BandQwen3-4BonacomplexGISreasoning task. OpenEarthAgent correctly sequences tool calls with proper dependencies and feedback, while Qwen3 fails due to misordered tool usage and inconsistent reasoning.",none,True,True,full_ABC,full_ABC,,
